"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY","GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY",21,-0.625527823490766,-2.45183610018824,1.6451714474904e-05,0.0231862204525389,0.0219529108539996,654,"tags=67%, list=20%, signal=54%","TMEM126B/TIMMDC1/COX11/NDUFA6/COX14/UQCC2/NDUFAF1/COX20/CHCHD7/DMAC1/NDUFAF4/TMEM126A/COA3/HIGD1A"
"GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS",305,0.258166974476843,1.82267002265077,2.46661919707861e-05,0.0231862204525389,0.0219529108539996,1219,"tags=51%, list=37%, signal=36%","NFATC2/NLRC5/FOSB/EGR3/EGR1/RELB/RFX2/PER1/ENG/TGFB1/PIM1/FOS/TNIP1/ERCC1/IRF1/TEF/IRF9/PER2/JUNB/ELF1/SPP1/NEAT1/BLM/RIGI/TET3/RBPMS/PCBD2/PSRC1/ATAD2/STAT1/TFAP2E/ARID3B/E4F1/PRKD2/PPARA/MED25/FOXO1/MAP2K3/MLLT1/GABPB1/GRHL1/KHSRP/SIRT1/PSMD9/RPS6KA5/AGO2/SAMD4A/EIF4ENIF1/SAMD4B/NOS1/MLLT6/SETD7/DAB2IP/BRCA1/RFX3/CHUK/STAT2/LEO1/RAI1/KMT2D/GLIS1/DDIT3/GRSF1/PRPF6/DIS3/TAF4B/LSM6/MAP2K7/ETV6/ZNF329/RIPK1/MED6/SSBP3/CDK7/AKAP8L/KDM6B/TAF5L/NAMPT/PABPC1/ESRRA/BRF1/CXXC1/SRCAP/LIN54/INO80/JUND/ZBED4/ZC3H18/MAP3K5/VHL/STAT3/SUPV3L1/GATAD2A/TAF1/KAT2A/ZNF410/ACTN4/BTRC/PSEN1/DLL1/GTPBP1/PPARG/TAF6/ABLIM3/EEF1D/PBX4/ARNT/SLC9A1/MAPRE3/FOXK2/ELL2/GTF2F1/HDAC4/CCPG1/HRAS/USF2/ECD/TFDP1/STAT5B/QRICH1/PELP1/MED23/CRTC2/SERTAD2/USP16/SMARCC1/TAF4/HCFC2/MAPK14/SIRT7/ELAVL1/TEAD1/MEF2D/EDRF1/KDM5A/CHD4/DNAJC2/CELF1/KAT8/PAGR1/RNF10/BAZ1B/CRTC3/RAD54L2/CREB5/RLF/KDM7A/ARHGEF2/CREBBP/ASXL1/IFT74/PKD1/ZNF516/BMAL1/DCP1A/TNRC6C"
"GOBP_OXIDATIVE_PHOSPHORYLATION","GOBP_OXIDATIVE_PHOSPHORYLATION",33,-0.517730182161494,-2.34481176691431,4.71600378774102e-05,0.0295536237365104,0.02798162247393,1334,"tags=88%, list=40%, signal=53%","NDUFA13/NDUFV3/TMEM135/COX6C/UQCRH/COX4I1/COQ9/UQCR11/UQCRB/NDUFA12/TEFM/COX8A/SIRT3/NDUFA11/NDUFA3/NDUFA5/NDUFB11/NDUFA1/GHITM/NDUFA4/NDUFA6/COX7A2/UQCC2/NDUFB5/ATP5PF/NDUFAF1/ATPSCKMT/CYCS/NDUFA8"
"GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT","GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",22,-0.587106389551378,-2.33624791046343,0.000105482414098727,0.0495767346264018,0.0469396742739336,1307,"tags=95%, list=39%, signal=58%","NDUFV3/COX6C/UQCRH/COX4I1/COQ9/UQCR11/UQCRB/NDUFA12/COX8A/NDUFA11/NDUFA3/NDUFA5/NDUFA1/GHITM/NDUFA4/NDUFA6/COX7A2/NDUFB5/NDUFAF1/CYCS/NDUFA8"
"GOBP_T_CELL_DIFFERENTIATION","GOBP_T_CELL_DIFFERENTIATION",42,0.437039377586244,2.11983771534223,0.000267656211578719,0.0874683366832284,0.0828157655830567,220,"tags=24%, list=7%, signal=23%","EGR3/EGR1/RELB/TCF7/IL6R/TGFB1/IRF1/KLHL25/JUNB/DOCK2"
"GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II","GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",211,0.260847505575353,1.75024534568691,0.000279154266010303,0.0874683366832284,0.0828157655830567,1025,"tags=43%, list=31%, signal=31%","NFATC2/NLRC5/FOSB/EGR3/EGR1/RELB/RFX2/PER1/ENG/TGFB1/FOS/TNIP1/ERCC1/IRF1/TEF/IRF9/JUNB/ELF1/RIGI/TET3/STAT1/TFAP2E/ARID3B/E4F1/PRKD2/PPARA/MED25/FOXO1/GABPB1/GRHL1/SIRT1/RPS6KA5/AGO2/NOS1/MLLT6/DAB2IP/BRCA1/RFX3/CHUK/STAT2/LEO1/KMT2D/GLIS1/DDIT3/PRPF6/TAF4B/ETV6/ZNF329/RIPK1/MED6/SSBP3/CDK7/AKAP8L/KDM6B/NAMPT/ESRRA/SRCAP/LIN54/INO80/JUND/ZBED4/STAT3/TAF1/KAT2A/ZNF410/ACTN4/DLL1/PPARG/TAF6/ABLIM3/EEF1D/PBX4/ARNT/SLC9A1/FOXK2/ELL2/GTF2F1/HDAC4/CCPG1/HRAS/USF2/ECD/TFDP1/STAT5B/PELP1/MED23/CRTC2/USP16/SMARCC1/TAF4"
"GOBP_RESPONSE_TO_PEPTIDE_HORMONE","GOBP_RESPONSE_TO_PEPTIDE_HORMONE",85,0.342753645438649,1.95220286232573,0.000403320792428573,0.108320441395103,0.10255871578898,1166,"tags=58%, list=35%, signal=38%","C1QTNF12/EGR1/PHEX/EDNRA/TGFB1/FOS/CAMK2A/CRY1/STAT1/BLVRB/PPARA/AHDC1/FOXO1/SIRT1/POR/TGFBR3/BAIAP2/STAT2/SLC24A4/SIK2/SH2B2/SESN2/LONP1/NONO/NAMPT/ERRFI1/PRKCG/JUND/STAT3/CCDC92/AHCYL1/CRY2/PTPN1/PRKCI/PPARG/PIK3C2A/SLC9A1/HRAS/STAT5B/SLC39A14/TYK2/SMARCC1/RPS6KB2/MAPK14/MAPK1/SORBS1/IRS2/PTPN11/USO1"
"GOBP_HEMOPOIESIS","GOBP_HEMOPOIESIS",139,0.290600807107072,1.83253990415164,0.000689632482781791,0.162063633453721,0.153443227418949,1060,"tags=46%, list=32%, signal=33%","EGR3/EGR1/RELB/TCF7/HSPA1A/IL6R/MLF1/TGFB1/PIM1/FOS/ERCC1/IRF1/KLHL25/JUNB/NEMP1/MYO1E/DOCK2/STAT1/BLVRB/EML1/SMPD3/THOC5/ANKRD54/JAM3/FANCA/SIRT1/TGFBR3/LMBR1L/WDR1/SH2B3/LEO1/TYRO3/IL34/ETV6/RIPK1/SSBP3/CIAO3/FBXO21/ZBTB46/SH3PXD2A/GAB2/SLC7A6OS/CD46/SIN3A/NKAP/STAT3/KAT2A/PIAS3/GPR89B/PSEN1/DLL1/ZBTB7A/PPARG/AMBRA1/ARNT/HDAC4/TPM4/STAT5B/CHD2/SMARCC1/GPR137B/MAPK14/CUL4A/SLC8A3"
"GOBP_MITOCHONDRIAL_TRANSLATION","GOBP_MITOCHONDRIAL_TRANSLATION",18,-0.558769903572828,-2.06844455801759,0.000927618269246689,0.174392234618378,0.165116051925911,635,"tags=56%, list=19%, signal=45%","MRPL51/MRPL32/MRPS16/MRPS10/MRPL37/UQCC2/MRPL21/MRPL24/COA3/RPUSD3"
"GOBP_LYMPHOCYTE_ACTIVATION","GOBP_LYMPHOCYTE_ACTIVATION",98,0.311601980454045,1.85974840798857,0.000916811642097597,0.174392234618378,0.165116051925911,1018,"tags=45%, list=31%, signal=32%","NFATC2/EGR3/EGR1/RELB/TCF7/IL6R/DCAF15/TGFB1/ERCC1/IRF1/KLHL25/JUNB/DOCK2/LAT2/PAWR/FANCA/LMBR1L/GIT1/ZNF335/TYRO3/SHLD2/PELI1/PURA/ZBTB46/MSH6/ARG2/HMCES/CD46/NKAP/STAT3/KAT2A/DDB1/GPR89B/PSEN1/DLL1/ZBTB7A/IL27RA/AMBRA1/HAVCR2/HDAC4/STAT5B/MAPK8IP1/TYK2/SMARCC1"
