"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_SYNAPSE_ORGANIZATION","GOBP_SYNAPSE_ORGANIZATION",123,-0.411839616647525,-2.46291931061068,2.60944879041616e-09,2.4346743881441e-06,2.11850099792173e-06,314,"tags=28%, list=11%, signal=27%","PTK2B/EPHA7/ERC2/NRG3/NRXN2/SNCB/OPCML/TNR/GPM6A/NTRK3/CACNB4/GRID2/CLSTN2/CTNNA2/RIMS1/RIMS2/NRCAM/GPR158/PAK3/DSCAM/GRM5/CACNA2D3/SNCG/LINGO2/SPARCL1/FRMPD4/ASIC1/NRXN1/CNTN5/GABRG3/GRIN2B/ADGRL2/APOE/GABRA2/ROBO2"
"GOBP_SYNAPTIC_SIGNALING","GOBP_SYNAPTIC_SIGNALING",153,-0.384159276559667,-2.39039075694077,2.64638520450446e-09,2.4346743881441e-06,2.11850099792173e-06,490,"tags=35%, list=17%, signal=30%","CACNA1A/DYSF/TMEM108/PRKAR2B/NOTCH1/NLGN4X/SGCZ/NTRK2/TUBB2B/C22orf39/SLC38A1/PTK2B/EPHA7/GRIK1/ERC2/NRG3/NRXN2/SNCB/TNR/GRIN2A/CACNB4/GRID2/DLGAP1/PTPRN2/LY6H/SNTG1/KCND3/CLSTN2/CAMK2A/SERPINE2/RIMS1/RIMS2/GPR158/SYT1/DSCAM/KCND2/GRM5/ATP1A2/SLC1A2/SNCG/TENM2/ASIC1/CADPS/NRXN1/GABRG3/GRIN2B/CACNA1E/GABRB1/APOE/PLCB1/GABRA2/KCNQ3/DLGAP2"
"GOBP_CELL_CELL_SIGNALING","GOBP_CELL_CELL_SIGNALING",198,-0.34767144950459,-2.27962742782043,6.52686931387223e-09,4.0031465125083e-06,3.48328709698234e-06,338,"tags=32%, list=11%, signal=31%","CACNA1A/DYSF/TMEM108/CPE/PRKAR2B/NOTCH1/NLGN4X/SGCZ/NTRK2/TUBB2B/CACNA1C/C22orf39/ANGPTL2/SLC38A1/PTK2B/EPHA7/GRIK1/ERC2/NRG3/NRXN2/WLS/ZYX/SNCB/TNR/GRIN2A/CACNB4/GRID2/DLGAP1/PTPRN2/LY6H/SNTG1/KCND3/NPPC/CLSTN2/CAMK2A/NMUR2/CXCL14/SERPINE2/RIMS1/RIMS2/GPR158/SYT1/DSCAM/KCND2/GRM5/ATP1A2/SLC1A2/SNCG/TENM2/ASIC1/CADPS/GJA9/GJA1/NRXN1/GABRG3/GRIN2B/CACNA1E/GABRB1/APOE/PLCB1/GABRA2/KCNQ3/DLGAP2/FGF14"
"GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY","GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY",68,-0.49341089788112,-2.60254071425711,2.29596925534965e-08,1.05614585746084e-05,9.18991904575479e-06,476,"tags=40%, list=16%, signal=34%","ZDHHC15/THBS2/SIGMAR1/NLGN4X/NTRK2/PTK2B/EPHA7/NRXN2/OPCML/GPM6A/NTRK3/GRID2/CLSTN2/CTNNA2/NRCAM/GPR158/PAK3/GRM5/CACNA2D3/LINGO2/SPARCL1/FRMPD4/ASIC1/NRXN1/GRIN2B/APOE/ROBO2"
"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_MEMBRANE_POTENTIAL",83,-0.452069728500327,-2.48161618085955,5.96880938101663e-08,2.19652185221412e-05,1.91127559337396e-05,424,"tags=39%, list=14%, signal=34%","SCN8A/NLGN4X/NTRK2/CACNA1C/PTK2B/GRIK1/GRIN2A/NTRK3/CACNB4/RGS7/SLC8A1/GRID2/KCND3/RIMS1/RIMS2/NRCAM/KCNH1/SYT1/NALF1/KCND2/GRM5/ATP1A2/SCN2A/ASIC1/GJA1/NRXN1/GABRG3/GRIN2B/GABRB1/GABRA2/KCNMB2/KCNQ3"
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING",109,-0.388393341075531,-2.25612149241059,3.03509398352896e-07,9.3076215494888e-05,8.09890868236411e-05,768,"tags=48%, list=26%, signal=37%","SLC24A2/GRIA4/PNKD/RASGRF2/BTBD9/FAAH/DGKE/CNTNAP4/TPRG1L/BCHE/FABP5/LGMN/GRIA3/NRXN3/PRKCB/CACNA1A/DYSF/TMEM108/PRKAR2B/NLGN4X/NTRK2/TUBB2B/C22orf39/SLC38A1/PTK2B/EPHA7/GRIK1/NRG3/NRXN2/TNR/GRIN2A/CACNB4/GRID2/DLGAP1/CLSTN2/CAMK2A/SERPINE2/RIMS1/RIMS2/GPR158/SYT1/GRM5/ATP1A2/SNCG/ASIC1/NRXN1/GRIN2B/GABRB1/APOE/PLCB1/KCNQ3/DLGAP2"
"GOBP_MONOATOMIC_ION_TRANSPORT","GOBP_MONOATOMIC_ION_TRANSPORT",166,-0.328656052886839,-2.08027155540052,6.42311324184379e-07,0.000168836119499894,0.00014691060512548,524,"tags=36%, list=18%, signal=31%","GRIA3/COX7B/DMAC2L/SLC12A9/FGF12/NKAIN2/PRKCB/SMDT1/CLCA4/DPP6/CACNA1A/ITPR2/LIME1/NDUFB5/ABCB8/KCNIP4/SCN8A/NRBP2/CATSPER2/NSF/CACNA1C/PACSIN3/TRPM6/SLC38A1/CNTN1/PTK2B/GRIK1/ANO2/KEL/GRIN2A/GPM6A/CACNB4/SLC8A1/GRID2/PLCH2/KCND3/CAMK2A/NMUR2/SERPINE2/KCNH1/NALF1/KCND2/ATP1A2/SLC1A2/NKAIN3/CACNA2D3/SCN2A/ASIC1/GJA1/GABRG3/GRIN2B/CACNA1E/GABRB1/PLCB1/GABRA2/KCNMB2/KCNQ3/KCNQ5/CLDN10"
"GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL",31,-0.590939843247907,-2.57211710573728,1.28977622744366e-06,0.000263687584277371,0.000229444402566294,314,"tags=48%, list=11%, signal=44%","PTK2B/GRIK1/GRIN2A/RGS7/GRID2/RIMS1/RIMS2/SYT1/KCND2/GRM5/NRXN1/GABRG3/GRIN2B/GABRB1/GABRA2"
"GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT","GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT",136,-0.346353917293361,-2.08499726550168,1.2759550607444e-06,0.000263687584277371,0.000229444402566294,518,"tags=33%, list=18%, signal=29%","SMDT1/CLCA4/DPP6/CACNA1A/ITPR2/LIME1/NDUFB5/ABCB8/KCNIP4/SCN8A/NRBP2/CATSPER2/CACNA1C/TRPM6/SLC38A1/PTK2B/GRIK1/ANO2/KEL/GRIN2A/GPM6A/CACNB4/SLC8A1/GRID2/PLCH2/KCND3/NMUR2/KCNH1/NALF1/KCND2/ATP1A2/SLC1A2/CACNA2D3/SCN2A/ASIC1/GJA1/GABRG3/GRIN2B/CACNA1E/GABRB1/PLCB1/GABRA2/KCNMB2/KCNQ3/KCNQ5"
"GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC","GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC",26,-0.617249743154562,-2.56241789316944,2.30196068086674e-06,0.00042356076527948,0.000368556020589296,314,"tags=50%, list=11%, signal=45%","PTK2B/GRIK1/TNR/GRIN2A/CACNB4/GRID2/SERPINE2/SYT1/DSCAM/GRM5/ATP1A2/NRXN1/GRIN2B"
