"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",31,0.609362735641313,2.69903251711697,2.45469814110999e-07,1.00642623785509e-05,8.78523545239364e-06,330,"tags=45%, list=10%, signal=41%","FOSB/EGR3/EGR1/RELB/PER1/FOS/TNIP1/IRF1/JUNB/RIGI/RNF19B/MCL1/GADD45B/MAP2K3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",52,-0.437588171508464,-2.23878513306562,4.1613944644138e-05,0.00085308586520483,0.000744670588368786,1276,"tags=73%, list=38%, signal=46%","COX6C/VDAC3/ATP1B1/UQCRH/COX4I1/ATP6AP1/VDAC2/UQCR11/UQCRB/NNT/COX8A/LDHB/GPX4/NDUFA3/NDUFA5/ACADVL/NDUFA1/ATP5MC3/COX10/OAT/SLC25A4/NDUFA4/SLC25A5/COX11/LDHA/ATP6V1G1/SLC25A11/MTX2/MDH2/NDUFA6/COX7A2/NDUFB5/ATP5PF/PDHA1/TIMM8B/CYCS/NDUFA8/COX15"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",30,0.458964366743067,2.00389313974571,0.00197811102843999,0.0270341840553465,0.0235985175322665,1087,"tags=67%, list=33%, signal=45%","NLRC5/RNF213/PIM1/IRF1/IRF9/RIGI/MVP/STAT1/OGFR/STAT2/RIPK1/PELI1/NAMPT/STAT3/SAMHD1/PTPN1/UPP1/EIF4E3/ZNFX1/PFKP"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",18,0.510426519494888,1.88891788930787,0.00625691478445363,0.0641333765406497,0.0559829217556377,434,"tags=44%, list=13%, signal=39%","MLF1/CCT6B/IP6K1/CFTR/JAM3/SIRT1/NOS1/DBF4"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",40,0.365320903496832,1.73129037225182,0.0115232857051779,0.0944909427824589,0.0824824661002209,1790,"tags=90%, list=54%, signal=42%","ARAP3/SUN2/MYO1E/DOCK2/VCL/MYO9B/TUBGCP3/NIN/ACTN4/CLIP1/ATG4B/TUBGCP5/DLG1/ARHGEF2/ABR/RHOT2/SMC1A/MARK4/TUBGCP2/KIF1B/CLIP2/ALMS1/PALLD/DST/CEP57/ITSN1/RABGAP1/OPHN1/SPTBN1/CLASP1/CTTN/APC/RASA1/ABI1/RASAL2/ARHGEF11"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",13,0.503541172338421,1.63171311334888,0.0326311842976655,0.222979759367381,0.194642151950987,252,"tags=38%, list=8%, signal=36%","TGFB1/PIM1/IRF1/IRF9/STAT1"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",26,0.381801338271118,1.5984532339402,0.0390548907888142,0.228750074620197,0.19967914087514,207,"tags=23%, list=6%, signal=22%","PHEX/HSPA1A/PIM1/IRF1/COL4A2/STX4"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",28,0.337792983483099,1.43996742979419,0.0737864077669903,0.378155339805825,0.330097087378641,532,"tags=36%, list=16%, signal=30%","EGR3/CASP2/IRF1/LMNA/HSPB1/MCL1/GADD45B/TGFBR3/BRCA1/DDIT3"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",38,0.294663932343829,1.37104449374541,0.0862068965517241,0.39272030651341,0.342811050615043,1046,"tags=50%, list=32%, signal=35%","TGFB1/POLQ/FOXN3/CHMP1A/RPS6KA5/SRSF10/DBF4/ODF2/G3BP1/SQLE/PURA/POLE/HIRA/TFDP1/TNPO2/SLC7A5/SMARCC1/MAPK14/CUL4A"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",27,0.326995349709741,1.37886763633571,0.0978473581213307,0.401174168297456,0.350190544855289,785,"tags=44%, list=24%, signal=34%","FOSB/FOS/IRF1/JUNB/DNAJB1/AGO2/TYRO3/MAPK8IP2/DLG4/NPTX2/CDC34/FURIN"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",19,-0.358790006974366,-1.3594869897217,0.132075471698113,0.492281303602058,0.429719238060847,579,"tags=37%, list=17%, signal=31%","SLC16A7/C5/FGFR3/PDK2/P2RX6/PLAG1/PTGFR"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",18,0.355061330899065,1.31396327212858,0.15625,0.533854166666667,0.466008771929825,142,"tags=17%, list=4%, signal=16%","ENG/TGFB1/JUNB"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",28,-0.297622168056427,-1.27743170165542,0.170431211498973,0.53414195867026,0.466259989596633,526,"tags=29%, list=16%, signal=24%","CA2/APOE/IGF1/HGFAC/CDO1/PSMB10/CSAD/AP4B1"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",36,-0.273106820261948,-1.26290358891072,0.182389937106918,0.53414195867026,0.466259989596633,913,"tags=42%, list=28%, signal=31%","SOD1/PGK1/TPI1/PRPS1/AK3/PGAM1/CITED2/NDST3/HSPA5/LDHA/EFNA3/MDH2/VCAN/EGLN3/DCN"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",19,-0.329139207267345,-1.24713749376871,0.205450733752621,0.56156533892383,0.490198241936077,1177,"tags=63%, list=35%, signal=41%","GABARAPL1/SERINC1/GPD2/BPHL/ACADVL/APEX1/ERP29/BCKDHB/CA2/LDHA/MDH2/PDHA1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",23,0.303607317122776,1.23538318261533,0.219465648854962,0.56238072519084,0.490910004017678,2165,"tags=96%, list=65%, signal=33%","MAP2K3/PDK1/STAT2/DDIT3/RIPK1/RALB/PLCG1/PPP2R1B/HRAS/MAPK1/PTPN11/PRKAR2A/MAP3K7/PIKFYVE/TSC2/UBE2D3/HSP90B1/PIN1/PRKAA2/CFL1/AP2M1/PLA2G12A"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",32,0.264113723858213,1.17243235786141,0.265895953757225,0.641278476708602,0.559780955278369,271,"tags=16%, list=8%, signal=14%","EGR3/FOS/ELF1/RRP12/BLVRB"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",15,0.327917446383629,1.12772804093509,0.346456692913386,0.715923076923077,0.624939271255061,1018,"tags=53%, list=31%, signal=37%","ERCC1/MVP/DLG4/ACOX1/CDK7/PABPC1/HRAS/SMARCC1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",21,0.280158756405235,1.10232281929853,0.349904397705545,0.715923076923077,0.624939271255061,457,"tags=29%, list=14%, signal=25%","UBR7/ATAD2/WDR90/LIG1/CSE1L/BRCA1"
