"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",30,0.531868416291861,2.48932368279953,6.53637474979968e-06,0.000235309490992788,0.000158249072889887,383,"tags=77%, list=28%, signal=57%","HSPA5/CALR/HSP90B1/SLC2A3/GLA/CANX/IFI30/EIF2S2/DDIT4/HSPD1/GBE1/PGK1/NIBAN1/PDK1/LDHA/CTSC/WARS1/HSPA4/CXCR4/ATP2A2/XBP1/ENO1/USO1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",33,0.459111346742571,2.19175362938133,0.000156157256816677,0.00281083062270019,0.00189032468778083,436,"tags=67%, list=32%, signal=47%","PIM1/TRIM25/IRF1/MX2/ICAM1/IFI30/LAP3/IRF9/FPR1/CASP8/FCGR1A/LCP2/WARS1/PTPN2/ARID5B/STAT3/TNFSF10/NLRC5/SP110/IL4R/EIF2AK2/CIITA"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",29,0.465790977034261,2.1494673735437,0.000256294669543376,0.00307553603452051,0.00206834294719216,262,"tags=48%, list=19%, signal=40%","SERPINE1/PIM1/HSPA5/PHEX/CPM/IRF1/LAP3/WAS/CTSD/ANXA5/LCP2/GCA/PRKCD/CTSC"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",10,0.650093836845762,2.16002629752998,0.00209019764241762,0.0150494230254068,0.0101209570053906,380,"tags=80%, list=28%, signal=58%","HSPA5/CALR/HSP90B1/DDIT4/NABP1/SEC31A/CEBPB/XBP1"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",27,0.42813627651916,1.95190662823371,0.0020028849291124,0.0150494230254068,0.0101209570053906,253,"tags=48%, list=18%, signal=40%","SERPINE1/PIM1/HSPA5/SLC2A3/DDIT4/GBE1/PGK1/LARGE1/PDK1/HMOX1/SLC2A5/LDHA/ZFP36"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",24,0.432152538252789,1.92127309216304,0.00525875435408664,0.0315525261245198,0.0212195351129812,190,"tags=46%, list=14%, signal=40%","PIM1/SLC2A3/MYO1E/CAPG/BCL2L1/SPP1/CDCP1/ITGAV/IKZF2/MAPKAPK2/IGF2R"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",19,0.433194282078726,1.82952248834041,0.00841013617332055,0.0432521288913628,0.0290876890205072,324,"tags=58%, list=23%, signal=45%","PIM1/IRF1/CCR1/TNFRSF12A/IRF9/LTBR/HMOX1/TGFB1/PTPN2/PTPN11/STAT3"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",10,-0.635724949891293,-1.70080622317437,0.0099574504599238,0.0448085270696571,0.0301343895497694,89,"tags=40%, list=6%, signal=38%","RYR2/NR4A2/ARPP21/TENM2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",26,0.393831684552513,1.80228649256465,0.0119041975348664,0.0476167901394655,0.0320229875206932,248,"tags=46%, list=18%, signal=39%","GNL3/PWP1/CANX/CYC1/EIF2S2/EIF3D/HSPD1/PGK1/ORC2/EIF3J/LDHA/RPLP0"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",12,0.516354161304945,1.83372729510208,0.0219868830582851,0.0791527790098264,0.0532314010884797,528,"tags=83%, list=38%, signal=52%","SERPINE1/ID2/TGFB1/ENG/JUNB/HIPK2/BCAR3/TGFBR1/TRIM33/NCOR2"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",14,0.423942433720951,1.60871322097664,0.0278887168644516,0.0912721642836599,0.061381864869128,313,"tags=64%, list=23%, signal=50%","HSPA5/DDIT4/GUSB/PYGL/PGK1/LDHA/SLC16A3/AKR1A1/CXCR4"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",22,0.369492040093837,1.61335004175939,0.0370681716419218,0.111204514925765,0.074786662084579,586,"tags=77%, list=42%, signal=45%","GLA/ATP1A1/SCAMP3/IGF2R/ARFGAP3/CTSC/TSG101/SEC31A/CD63/AP3S1/USO1/SEC24D/ARFGEF2/M6PR/CLTC/RPS6KA3/AP1G1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",18,0.387588561893709,1.62574694282643,0.0454929159659067,0.125980382674818,0.0847236491672756,435,"tags=67%, list=31%, signal=46%","TRIM25/IRF1/IFI30/LAP3/IRF9/CASP8/TENT5A/WARS1/SP110/IL4R/EIF2AK2/PARP9"
