"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",39,0.471934438209077,2.30056327081644,3.9916025774955e-05,0.00183613718564793,0.00130252294634064,832,"tags=59%, list=22%, signal=47%","GADD45B/MAFF/LDLR/TNC/RELA/ICOSLG/ZFP36/NFKBIA/DNAJB4/EGR1/MAP2K3/PER1/PFKFB3/DUSP1/NR4A2/NAMPT/NR4A1/CEBPD/SQSTM1/BCL6/NINJ1/RIGI/EFNA1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",28,0.515238669727627,2.27108213846376,0.00016582777904445,0.00306934321963515,0.00217733729539335,708,"tags=50%, list=18%, signal=41%","LDLR/MET/IRAK2/RELA/ICOSLG/CD55/NFKBIA/KCNJ2/SLC31A2/HPN/LPAR1/NAMPT/AHR/RHOG"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",28,0.505662279184953,2.22887108019067,0.000285940681178061,0.00306934321963515,0.00217733729539335,289,"tags=29%, list=8%, signal=27%","TNFRSF12A/GADD45B/ISG20/LMNA/RELA/HSPB1/BCL2L1/CAV1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",26,0.503039592556966,2.18298921587091,0.00033362426300382,0.00306934321963515,0.00217733729539335,1176,"tags=65%, list=31%, signal=46%","TNFRSF12A/LDLR/MVK/LPL/LSS/SEMA3B/HMGCS1/HSD17B7/FDFT1/ABCA2/GUSB/CHKA/ACAT2/SQLE/FDPS/ACSS2/SREBF2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",54,0.386158801550657,2.06436343386891,0.000238783674327677,0.00306934321963515,0.00217733729539335,1008,"tags=52%, list=26%, signal=39%","LDLR/SLC6A6/STIP1/DHCR24/NFKBIB/MAP2K3/NUPR1/CXCR4/SDF2L1/FADS1/ADIPOR2/M6PR/HMGCS1/NAMPT/WARS1/HSPA4/INSIG1/PPA1/QDPR/SQSTM1/PSMC4/SQLE/NUP205/PSMD13/NHERF1/DDX39A/ELOVL5/PSMC6"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",45,0.390746792842392,1.98272914184048,0.000590760790451827,0.00452916606013068,0.00321290956210643,1852,"tags=84%, list=48%, signal=44%","PABPC4/RFC4/HSP90AB1/PTGES3/TRIM28/EIF3D/PSMC4/PSMD3/PABPC1/CLNS1A/PSMC6/KARS1/PRDX3/EIF4A1/EIF4H/HDAC2/DDX21/EIF3B/IARS1/HSPE1/PWP1/RAD23B/LSM2/BUB3/CCT5/POLD2/KPNB1/TCP1/SSBP1/CCT7/SNRPA1/SNRPD2/RPS5/EIF3J/HNRNPA2B1/DEK/RPL18/SLC25A3"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",36,0.409063228103743,1.96929451006395,0.00227631113112603,0.0149586160045425,0.0106113751977304,1025,"tags=58%, list=27%, signal=43%","NPTX2/STIP1/NFKBIA/DNAJB1/SLC6A12/FKBP4/FEN1/RFC4/SLC6A8/EPHX1/CA2/CDKN1C/NR4A1/SQSTM1/HSPA2/CHKA/AMD1/DNAJA1/EIF5/SELENOW/NUP58"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",35,0.384523234589248,1.82186431885632,0.00919707977446218,0.0528832087031575,0.037514404343201,1851,"tags=83%, list=48%, signal=43%","ORC6/SHMT1/HMGA1/SMC4/CDKN2A/CCP110/SMC1A/NCAPD2/POLE4/MMS22L/NUP107/NUP205/DDX39A/PAICS/PPM1D/BARD1/DONSON/PHF5A/CSE1L/BRMS1L/IPO7/KIF22/RFC1/POLD2/DNMT1/NUP153/PRKDC/DEK/STMN1"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",37,0.359413534180327,1.71627403307716,0.0122336249371831,0.0625274163456024,0.0443558331055761,439,"tags=30%, list=11%, signal=27%","ISG20/MAFF/SLC6A6/CHST3/ZFP36/NDRG1/CXCR4/CAV1/PFKFB3/DUSP1/AMPD3"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",43,0.325589731226313,1.62620575388608,0.0195959185028355,0.0901412251130434,0.0639445761671475,897,"tags=42%, list=23%, signal=32%","GADD45B/MYL11/AEBP1/CRYAB/ITGB4/ACTN2/PICK1/ITGA7/SLC6A8/TGFB1/MYLK/BIN1/ERBB3/LAMA2/ITGB5/ACSL1/PLXNB2/LDB3"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",36,0.33406262206459,1.60822983453923,0.0284358576979126,0.109004121175332,0.077325577950464,1137,"tags=53%, list=30%, signal=38%","GADD45B/MAFF/SPP1/NDRG1/BCL2L1/CAPN3/NOP2/CA2/CD81/CDKN1C/AHR/ITGAE/MYO1E/MAPKAPK2/RNH1/PTRH2/PLIN2/ANXA4/SERPINB6"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",50,0.288537912492141,1.4954006465794,0.0273227436541003,0.109004121175332,0.077325577950464,567,"tags=32%, list=15%, signal=28%","LMO2/HTATIP2/KEL/FN3K/MAP2K3/ABCB6/PGLS/SLC6A8/KDM7A/ADD1/CPOX/DCAF11/TMCC2/TNS1/CA2/NFE2L1"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",38,0.324481978102056,1.56901025052458,0.0349268673629009,0.123587376822573,0.0876706792105206,860,"tags=50%, list=22%, signal=39%","PHLDA3/CDKN2A/NDRG1/CCP110/CTSD/MKNK2/NUPR1/ITGB4/TGFB1/EPHX1/CD81/PIDD1/DDB2/RALGDS/ZBTB16/NINJ1/KIF13B/POLH/PLXNB2"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",24,0.364535780200019,1.53202574379346,0.0412633333776667,0.135579523955191,0.0961776943389223,1214,"tags=50%, list=32%, signal=34%","ABCA6/DHCR24/PEX16/FADS1/ABCA8/ABCA2/CYP27A1/ACSL1/SLCO1A2/NPC1/GCLM/PEX26"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",34,0.330460834523429,1.54260329427137,0.048634649820085,0.149146259448261,0.105801694345448,1283,"tags=53%, list=33%, signal=36%","FKBP5/AZGP1/DHCR24/NDRG1/ADAMTS1/ELK4/FADS1/SLC38A2/HMGCS1/INSIG1/LIFR/ELOVL5/SGK1/ADRM1/ELL2/SLC26A2/UBE2I/MAP7"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",10,0.468377242027971,1.44591587543952,0.0918918918918919,0.264189189189189,0.187411095305832,723,"tags=40%, list=19%, signal=33%","TNFRSF12A/STAT3/TGFB1/TYK2"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",29,0.299438345262757,1.3196630791486,0.103559870550162,0.280220826194556,0.198783652449227,1696,"tags=76%, list=44%, signal=43%","DGUOK/FEN1/RFC4/POLR2D/DDB2/POLE4/POLR2A/POLH/POLR2I/TAF12/ADRM1/STX3/GUK1/POLR3C/POLA1/ERCC3/POLR2F/ERCC1/UPF3B/XPC/NELFCD/DDB1"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",20,0.332383984518059,1.30958631570596,0.144578313253012,0.369477911646586,0.262101035721835,1346,"tags=65%, list=35%, signal=42%","MAFF/ITGA2/RAPGEF3/HPN/CSRP1/LAMP2/PEF1/TF/GSN/CPQ/S100A13/CD9/BMP1"
