"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",183,0.380796488626118,2.65936494612634,1e-10,6.3e-08,5.51578947368421e-08,878,"tags=36%, list=19%, signal=30%","GBP2/SFN/CLCF1/CCL2/RELB/TNFRSF12A/ICAM1/HGF/HSPA1B/ANXA1/IRAK2/RSAD2/NFKB2/HSPA1A/CD44/GBP1/IL6R/MAP2K3/IL1R1/HSP90AA1/MUC1/MAPKAPK2/MAP3K14/NOD1/SOD2/BCL2L1/INPP5D/IL13RA1/MSN/TUBB3/HSP90B1/HAVCR2/TRIM25/FLNA/TIMP1/OSMR/HNRNPF/PIM1/HLA-F/BOLA2B/NUP160/NUP107/STX4/STAT1/IRF7/TGFB1/SOCS6/SHC1/PTPN2/ITGB1/PRKACA/PML/NUP43/ALPK1/IFI44L/SNCA/PSMB3/PSMD11/TNFRSF1A/LAMA5/ATF1/RPLP0/NFKBIA/IFITM2/EIF2S2/NUP98"
"REACTOME_HSF1_DEPENDENT_TRANSACTIVATION","REACTOME_HSF1_DEPENDENT_TRANSACTIVATION",16,0.755990684484785,2.76935562977674,1.31272334636784e-07,3.61073928072796e-05,3.16128217727895e-05,777,"tags=81%, list=17%, signal=68%","HSPA1B/SERPINH1/HSPA1A/HSPA6/HSP90AA1/FKBP4/HSPB1/DNAJB1/PTGES3/HSPH1/HSP90AB1/CRYAB/AKT1S1"
"REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS",111,0.371360840600022,2.33246898126308,1.7193996574895e-07,3.61073928072796e-05,3.16128217727895e-05,864,"tags=37%, list=19%, signal=31%","CLCF1/CCL2/ICAM1/HGF/ANXA1/IRAK2/NFKB2/IL6R/MAP2K3/IL1R1/HSP90AA1/MUC1/MAPKAPK2/NOD1/SOD2/BCL2L1/INPP5D/IL13RA1/MSN/HSP90B1/HAVCR2/TIMP1/OSMR/HNRNPF/PIM1/BOLA2B/STX4/STAT1/TGFB1/SHC1/PTPN2/ITGB1/PRKACA/ALPK1/PSMB3/PSMD11/TNFRSF1A/LAMA5/ATF1/RPLP0/NFKBIA"
"REACTOME_INFECTIOUS_DISEASE","REACTOME_INFECTIOUS_DISEASE",356,0.242054419564397,1.88184234159885,3.53310756834131e-07,5.56464442013757e-05,4.87196938371276e-05,1574,"tags=46%, list=35%, signal=32%","GBP2/SFN/HSPA1B/IRAK2/NFKB2/VPS37C/CPSF4/HSPA1A/C3/GBP1/RANGAP1/IL6R/PRKX/MAP2K3/IL1R1/HSP90AA1/FKBP4/ANO6/NOD1/MYO9B/BCL2L1/BAIAP2/TUBB3/PRKAR2B/MED22/TAF9/DHX38/TRIM25/MAP1B/SF3A3/HNRNPF/PTGES3/MGAT5/HLA-F/SEC24A/SEC24C/ATP1B3/SMNDC1/NCKIPSD/MYH9/NUP160/SH3GL1/C1S/LAMB2/RBM10/IMPDH2/MED12/POLR2A/NUP107/CWC25/NPLOC4/CSTF2/UFD1/STAT1/IRF7/MYO1C/FASN/HNRNPL/MED15/RAB7A/ST6GAL1/TGFB1/RETREG1/MED23/MOGS/GTF2F1/ENTPD5/LAMC1/HSP90AB1/ITGB1/PRKACA/PML/NUP43/MAGT1/PSMB3/PSMD11/GBF1/LAMA5/RPLP0/SRRT/NFKBIA/AHCYL1/NUP98/NELFE/VPS16/ARPC2/GATAD2A/CSNK2A2/TAF1/PARP14/ARF1/ROCK2/SNRNP200/P4HA2/TRAF6/COL4A2/PPIH/MED16/LYN/EFTUD2/CCAR1/VCP/PABPC1/TBP/AP1S2/HNRNPM/PRPF6/BRD4/ITPR2/CLTA/NCBP2/CHMP3/PQBP1/GTF2E2/VPS37A/MASP1/P4HB/POM121/RPS27L/ELAVL1/MED24/PARP4/SUGT1/DNAJB11/NMT1/RAB5B/SF3A1/SUPT16H/EIF4G1/ZDHHC3/B2M/PSMA5/KEAP1/ZDHHC9/SF3B2/PRPF8/CREBBP/CUL3/CRK/AP2A1/TAF12/CLINT1/TRIM28/VPS4A/SSRP1/DDX42/CPSF1/SRSF4/NUP85/UBE2I/KPNA1/EED/PARP9/MAPK1/STAT2/VPS37B/KDELR1/RRBP1/IKBKB/ITCH/PSMB4/MLST8"
"REACTOME_ATTENUATION_PHASE","REACTOME_ATTENUATION_PHASE",12,0.809299938151638,2.67934198944863,5.20493835031519e-07,6.55822232139714e-05,5.74186883276876e-05,473,"tags=83%, list=10%, signal=75%","HSPA1B/SERPINH1/HSPA1A/HSPA6/HSP90AA1/FKBP4/HSPB1/DNAJB1/PTGES3/HSPH1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",78,0.400701917365693,2.34589859830944,3.10077288190939e-06,0.000325581152600486,0.000285053507038688,839,"tags=45%, list=18%, signal=37%","ICAM1/ACTN1/SERPINH1/ITGA3/CD44/SNTB2/ADAM12/TGFB3/CTSD/DST/PLOD3/MMP14/TGFB2/BMP1/COLGALT1/TIMP1/DDR2/P3H2/LTBP1/ITGB4/COL21A1/ITGB8/LAMB2/TNXB/SPP1/TGFB1/ADAMTS3/LAMC1/VCAN/P3H1/CAST/ITGB1/CAPNS1/PLEC/LAMA5"
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS","REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS",36,0.526057520274462,2.58453976172933,5.8256371981948e-06,0.000347805110950745,0.000304511074583443,1071,"tags=61%, list=23%, signal=47%","HSPA1B/SERPINH1/HSPA1A/HSPA6/HSP90AA1/FKBP4/MAPKAPK2/DNAJC2/HSPB1/DNAJB1/PTGES3/HSPH1/NUP160/NUP107/HSP90AB1/NUP43/CRYAB/AKT1S1/NUP98/BAG4/HSPA4L/VCP"
"REACTOME_HSF1_ACTIVATION","REACTOME_HSF1_ACTIVATION",13,0.734608940167242,2.52013361564861,4.84852958625401e-06,0.000347805110950745,0.000304511074583443,473,"tags=77%, list=10%, signal=69%","HSPA1B/SERPINH1/HSPA1A/HSPA6/HSP90AA1/FKBP4/HSPB1/DNAJB1/PTGES3/HSPH1"
"REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES","REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES",48,0.458885679772967,2.41400942139922,6.36452430214545e-06,0.000347805110950745,0.000304511074583443,1479,"tags=60%, list=32%, signal=41%","GBP2/SFN/HSPA1B/HSPA1A/GBP1/TUBB3/TRIM25/FLNA/PIM1/NUP160/NUP107/STAT1/PTPN2/NUP43/SNCA/EIF2S2/NUP98/FANCG/SPHK1/ILF2/ADAR/EIF4E2/DUS2/POM121/EIF4G1/STAT3/NUP85/UBE2I/KPNA1"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",72,0.40551229376298,2.34062208218967,4.06066769877895e-06,0.000347805110950745,0.000304511074583443,1564,"tags=58%, list=34%, signal=39%","GBP2/SFN/ICAM1/HSPA1B/RSAD2/HSPA1A/CD44/GBP1/TUBB3/TRIM25/FLNA/PIM1/HLA-F/NUP160/NUP107/STAT1/IRF7/PTPN2/PML/NUP43/IFI44L/SNCA/IFITM2/EIF2S2/NUP98/FANCG/SPHK1/ILF2/ADAR/EIF4E2/DUS2/POM121/EIF4G1/B2M/STAT3/XAF1/NUP85/UBE2I/KPNA1/MAPK1/STAT2/IKBKB"
"REACTOME_INNATE_IMMUNE_SYSTEM","REACTOME_INNATE_IMMUNE_SYSTEM",232,0.258445754133444,1.86436339027243,6.62485925620467e-06,0.000347805110950745,0.000304511074583443,940,"tags=29%, list=21%, signal=25%","GBP2/RELB/NFATC2/HSPA1B/IRAK2/NFKB2/HSPA1A/RNF125/C3/CD44/GBP1/HSPA6/B4GALT1/SERPINA3/MAP2K3/HSP90AA1/DNASE1L1/MUC1/MAPKAPK2/MAP3K14/MVP/ANO6/NOD1/ALDOA/FRMPD3/MYO9B/BCL2L1/CTSD/BAIAP2/SNAP29/SERPING1/HSP90B1/PLPP4/C1R/TRIM25/SLC15A4/C1orf35/NCKIPSD/MYH9/C1S/IMPDH2/KCMF1/ACLY/IRF7/MYO1C/LPCAT1/RAB7A/DDX41/SHC1/HSP90AB1/ATP6V0A2/PRKACA/SERPINB1/ALPK1/MAGT1/PSMB3/PSMD11/POLR3A/ATF1/NFKBIA/AHCYL1/CD81/ARPC2/LGMN/ATP11A/NFATC3/RAB24/TMC6"
