"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_METABOLISM_OF_RNA","REACTOME_METABOLISM_OF_RNA",125,0.340875838549369,2.30811538051218,1.39726396392373e-06,0.000530960306291019,0.00044124125176539,923,"tags=64%, list=36%, signal=43%","HSPA1A/SF3A2/HSPB1/SMN1/UTP14A/HSD17B10/KHSRP/CPSF4/EIF4G1/CSTF2/PABPC1/METTL3/EDC4/PPIE/DCPS/PUF60/NUP107/PSMC1/ZC3H18/CWC25/RPLP0/RPS26/ADRM1/RBM8A/CLNS1A/CWC15/POLR2E/ADAT1/MAPK14/PRPF3/PSMC4/DDX21/HNRNPF/RPS29/U2AF1/SNRPF/LTV1/SMU1/DDX41/NUP58/NUDT21/GSPT1/DHX38/RPS15A/PSMB3/UBL5/PAN2/SART1/WDR33/NUP54/GTPBP3/SEC13/RPS2/SMG6/CNOT6/CHTOP/PSMC3/DCP1A/RIOK3/SRSF4/CPSF6/UTP4/XPOT/RPS21/RPL18/SNRNP200/RPLP1/RANBP2/NXF1/DDX42/CCDC12/PPP1CA/POLR2A/RPP21/UPF3B/PRPF8/RPL18A/RPL8/AQR/RPS27"
"REACTOME_VIRAL_INFECTION_PATHWAYS","REACTOME_VIRAL_INFECTION_PATHWAYS",159,0.276577821315838,1.97306955065054,2.47841072820718e-05,0.00313932025572909,0.00260885339811282,1142,"tags=70%, list=45%, signal=41%","HSPA1A/SF3A2/HSPA1B/TGFB1/SMN1/STT3A/RAB5C/CPSF4/TUBA8/SUN2/EIF4G1/CSTF2/PABPC1/PPIE/PUF60/NUP107/RANGAP1/PSMC1/ELL/CWC25/NCK1/RPLP0/RPS26/ADRM1/SRPK1/TCEA1/GPS2/CHMP2A/CWC15/CHUK/POLR2E/XRCC6/PALS1/PSMC4/HNRNPF/RPS29/U2AF1/SNRPF/DNAJB11/NUP58/NUDT21/TAF6/DHX38/B2M/RPS15A/BRD4/IPO7/PSMB3/ATP1B3/WDR33/NUP54/SEC13/RPS2/CDK19/NCOR2/PSMC3/PTPN11/CLU/GTF2B/SRSF4/TAF2/CPSF6/EIF2AK2/RPS21/VPS37B/TAF4B/RPL18/SNRNP200/GRB2/CSNK2A1/CSNK2A2/CUL5/RPLP1/UBR4/RANBP2/DDX42/BCL2L1/PHF21A/PPP1CA/POLR2A/NPLOC4/PRPF8/DNAJC10/RPL18A/RPL8/AQR/RPS27/ATL2/KPNA1/POLR2B/NEDD4L/UBC/EIF4A1/CLTA/MTOR/SUPT16H/EIF4E/CLTC/NUP98/MGAT4A/NUP214/RPL28/GATAD2B/KPNB1/EFTUD2/CCNH/CSNK1A1/NCOR1/AP2B1/UBAP1/ITCH"
"REACTOME_INFECTIOUS_DISEASE","REACTOME_INFECTIOUS_DISEASE",187,0.261609645206287,1.92003614020379,2.16868856799914e-05,0.00313932025572909,0.00260885339811282,994,"tags=59%, list=39%, signal=39%","HSPA1A/SF3A2/COL4A5/HSPA1B/TGFB1/SMN1/STT3A/P2RX4/FN1/ITPR2/RAB5C/CPSF4/TUBA8/SUN2/EIF4G1/CSTF2/PABPC1/PPIE/EEF2/PUF60/BAIAP2/NUP107/RANGAP1/PSMC1/ELL/ARPC5/CWC25/NCK1/RPLP0/RPS26/ADRM1/SRPK1/TCEA1/GPS2/CHMP2A/CWC15/CHUK/POLR2E/MAPK14/XRCC6/PALS1/PSMC4/HNRNPF/RPS29/U2AF1/SNRPF/DNAJB11/SH3GL1/NUP58/NUDT21/TAF6/DHX38/B2M/RPS15A/MYH9/BRD4/IPO7/ARPC2/PSMB3/ATP1B3/WDR33/NUP54/SEC13/RPS2/PRKAR2B/CDK19/NCOR2/PSMC3/PTPN11/CLU/GTF2B/SRSF4/ITPR1/TAF2/CPSF6/EIF2AK2/RPS21/AHCYL1/VPS37B/TAF4B/RPL18/SNRNP200/GRB2/CSNK2A1/CSNK2A2/CUL5/GNG10/RPLP1/UBR4/RANBP2/DDX42/BCL2L1/PHF21A/PPP1CA/POLR2A/NPLOC4/PRPF8/DNAJC10/RPL18A/RPL8/AQR/RPS27/ATL2/KPNA1/POLR2B/NEDD4L/UBC/EIF4A1/CLTA/MTOR"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",52,0.410282908372094,2.28070665165786,3.84139428201731e-05,0.00364932456791645,0.00303267969632946,1031,"tags=81%, list=40%, signal=49%","SF3A2/CPSF4/CSTF2/METTL3/PPIE/PUF60/NUP107/CWC25/RBM8A/CWC15/POLR2E/PRPF3/HNRNPF/U2AF1/SNRPF/SMU1/DDX41/NUP58/NUDT21/DHX38/UBL5/SART1/WDR33/NUP54/SEC13/CHTOP/SRSF4/CPSF6/SNRNP200/RANBP2/NXF1/DDX42/CCDC12/PPP1CA/POLR2A/UPF3B/PRPF8/AQR/POLR2B/UBC/EIF4E/NUP98"
"REACTOME_MRNA_3_END_PROCESSING","REACTOME_MRNA_3_END_PROCESSING",23,0.541382555122472,2.37785452722118,9.1509166744481e-05,0.00695469667258055,0.00577952632070406,973,"tags=91%, list=38%, signal=57%","SF3A2/CPSF4/CSTF2/PUF60/RBM8A/POLR2E/HNRNPF/U2AF1/SNRPF/NUDT21/DHX38/WDR33/CHTOP/SRSF4/CPSF6/DDX42/PPP1CA/POLR2A/UPF3B/POLR2B/UBC"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",86,0.323729652300884,2.03540579403777,0.000168717438984129,0.0106854378023282,0.008879865209691,856,"tags=57%, list=33%, signal=39%","HSPA1A/ANXA1/HSPA1B/RELB/IFITM3/TGFB1/FANCG/SH2B3/FN1/SLA/TUBA8/EDA/EIF4G1/CSK/NUP107/PSMC1/PITPNA/NCK1/RPLP0/ADRM1/STAT3/MCL1/STX4/STAT5B/CHUK/MAPK14/MTAP/PSMC4/HNRNPF/BCL2/RPS6KA5/TRIM26/NUP58/B2M/PSMB3/NUP54/SEC13/PSMC3/PTPN11/PTPN23/EIF2AK2/HSPA9/GRB2/CUL5/EIF2AK3/EIF2S2/TCP1/RANBP2/BCL2L1"
"REACTOME_HIV_INFECTION","REACTOME_HIV_INFECTION",40,0.418189857359617,2.19392380036746,0.000271786569324725,0.0147541280490565,0.0122610482402131,1136,"tags=88%, list=44%, signal=50%","NUP107/RANGAP1/PSMC1/ELL/ADRM1/TCEA1/CHMP2A/POLR2E/XRCC6/PSMC4/NUP58/TAF6/B2M/PSMB3/NUP54/SEC13/PSMC3/GTF2B/TAF2/VPS37B/TAF4B/CUL5/RANBP2/POLR2A/KPNA1/POLR2B/NEDD4L/UBC/SUPT16H/NUP98/NUP214/KPNB1/CCNH/AP2B1/UBAP1"
"REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION",12,0.664968652037618,2.3031108036741,0.000343133638896523,0.0162988478475848,0.0135447489038101,867,"tags=100%, list=34%, signal=66%","CPSF4/CSTF2/RBM8A/U2AF1/SNRPF/NUDT21/DHX38/WDR33/CHTOP/SRSF4/CPSF6/UPF3B"
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3",17,0.561143765004037,2.19385001852127,0.00112593448936203,0.0344833231694024,0.0286565012488109,1003,"tags=88%, list=39%, signal=54%","SPP1/TCF7/TGFB1/MAMLD1/MAML2/PSMC1/ADRM1/PSMC4/MAML3/PSMB3/PSMC3/SMURF2/UBC/RBPJ/HDAC4"
"REACTOME_MRNA_POLYADENYLATION","REACTOME_MRNA_POLYADENYLATION",19,0.524809403305511,2.16836807067305,0.00106508862525762,0.0344833231694024,0.0286565012488109,973,"tags=89%, list=38%, signal=56%","SF3A2/CPSF4/CSTF2/PUF60/POLR2E/HNRNPF/U2AF1/SNRPF/NUDT21/WDR33/SRSF4/CPSF6/DDX42/PPP1CA/POLR2A/POLR2B/UBC"
