"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT","REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",64,-0.459651264319765,-2.47520063100792,4.35818478019903e-07,0.000215294328141832,0.000209651625742206,976,"tags=59%, list=29%, signal=43%","NNT/COX8A/LDHB/LYRM2/SIRT3/NDUFA11/NDUFA3/NDUFA5/NDUFB11/NDUFA1/ATP5MC3/TMEM126B/SLC25A4/NDUFA4/TIMMDC1/COX11/UBB/LDHA/SLC25A11/MDH2/NDUFA6/COX7A2/COX14/UQCC2/NDUFB5/ATP5PF/NDUFAF1/PDK2/COX20/PDHA1/CYCS/NDUFA8/DMAC1/NDUFAF4/TMEM126A/COX15/COA3/HIGD1A"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",45,-0.497661428448396,-2.42226855181399,4.24225965733021e-06,0.00104783813536056,0.00102037508599995,961,"tags=84%, list=29%, signal=61%","SLC25A13/NDUFAF2/NDUFA13/NDUFV3/COX6C/UQCRH/COX4I1/UQCR11/UQCRB/NDUFA12/COX8A/LYRM2/NDUFA11/NDUFA3/NDUFA5/NDUFB11/NDUFA1/TMEM126B/NDUFA4/TIMMDC1/COX11/SLC25A11/MDH2/NDUFA6/COX7A2/COX14/UQCC2/NDUFB5/NDUFAF1/COX20/CYCS/NDUFA8/DMAC1/NDUFAF4/TMEM126A/COX15/COA3/HIGD1A"
"REACTOME_NGF_STIMULATED_TRANSCRIPTION","REACTOME_NGF_STIMULATED_TRANSCRIPTION",12,0.68465069485254,2.19121313754744,0.000416898441805849,0.0464475741552515,0.0452302181737693,142,"tags=42%, list=4%, signal=40%","FOSB/EGR3/EGR1/FOS/JUNB"
"REACTOME_COMPLEX_IV_ASSEMBLY","REACTOME_COMPLEX_IV_ASSEMBLY",11,-0.684117095890588,-2.16364576702128,0.000470117147320359,0.0464475741552515,0.0452302181737693,603,"tags=73%, list=18%, signal=60%","NDUFA4/COX11/COX7A2/COX14/COX20/COX15/COA3/HIGD1A"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",120,0.30527507181682,1.85521962450803,0.000368207260886247,0.0464475741552515,0.0452302181737693,1517,"tags=71%, list=46%, signal=40%","NLRC5/EGR1/RELB/HSPA1A/IL6R/TGFB1/PIM1/FOS/MAP3K14/IRF1/IRF9/JUNB/CAMK2A/RIGI/STX4/STAT1/MCL1/DUS2/MAPKAPK2/THOC5/FOXO1/MAP2K3/FANCA/RPS6KA5/OPRD1/CHUK/STAT2/SH2B3/IL34/SNRPA1/MAP2K7/USP14/PELI1/PLCG1/PTPN23/GAB2/UBE2I/FURIN/STAT3/ARIH1/BTRC/SAMHD1/PPP2R1B/PITPNA/PTPN1/IL27RA/PSMC2/NUP214/HAVCR2/HRAS/MAP3K3/STAT5B/TYK2/MAPK14/NUP205/EIF4E3/TRIM3/UBA52/MAPK1/BCL2L1/IRS2/PTPN11/FNTB/CUL5/ADAM17/NUP58/EIF2AK3/MAP2K4/NUP54/IL6ST/PSMD2/B2M/PSMD13/TRAF3/STX1A/FYN/PSMD1/IFNGR2/CAMK2G/HSPA9/SMARCA4/MAP3K7/NUP153/IFNAR2/RAPGEF1"
"REACTOME_REGULATION_OF_PD_L1_CD274_TRANSCRIPTION","REACTOME_REGULATION_OF_PD_L1_CD274_TRANSCRIPTION",10,0.699237387006311,2.10603589226168,0.00114136874402558,0.0939726932581061,0.0915097396525772,252,"tags=50%, list=8%, signal=46%","FOSB/TCF7/FOS/IRF1/STAT1"
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION",17,0.570956593926416,2.05336057656155,0.00156032570008058,0.110114413691401,0.107228397734861,399,"tags=41%, list=12%, signal=36%","FOSB/EGR3/EGR1/FOS/JUNB/MAPKAPK2/RPS6KA5"
"REACTOME_COMPLEX_I_BIOGENESIS","REACTOME_COMPLEX_I_BIOGENESIS",23,-0.49946609669519,-1.99430412909294,0.00254755172470343,0.124923994677242,0.121649830742595,956,"tags=65%, list=29%, signal=47%","LYRM2/NDUFA11/NDUFA3/NDUFA5/NDUFB11/NDUFA1/TMEM126B/TIMMDC1/NDUFA6/NDUFB5/NDUFAF1/NDUFA8/DMAC1/NDUFAF4/TMEM126A"
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE","REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE",17,0.551133735226526,1.9820706098599,0.00278170838350134,0.124923994677242,0.121649830742595,1126,"tags=82%, list=34%, signal=55%","NLRC5/FOS/MAPKAPK2/MAP2K3/RPS6KA5/CHUK/MAP2K7/USP14/PELI1/BTRC/PPP2R1B/MAPK14/UBA52/MAPK1"
"REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE","REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE",17,0.551133735226526,1.9820706098599,0.00278170838350134,0.124923994677242,0.121649830742595,1126,"tags=82%, list=34%, signal=55%","NLRC5/FOS/MAPKAPK2/MAP2K3/RPS6KA5/CHUK/MAP2K7/USP14/PELI1/BTRC/PPP2R1B/MAPK14/UBA52/MAPK1"
