"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",124,-0.495662568736233,-2.43820293664994,1.49574347475611e-10,8.7650567620708e-08,5.9042505582478e-08,1229,"tags=65%, list=32%, signal=45%","GABRB1/GRIN2D/GNG2/GNG3/GRM5/ARHGEF9/PLCB1/EPB41L5/GRIA4/ADCY6/NLGN4X/ACHE/CACNA2D3/KCNQ3/PRKCB/STXBP1/DLGAP1/CAMK2B/EPB41L3/RPS6KA6/KCND3/GABRB3/HOMER1/NRXN1/KCNB1/GNB5/CACNB4/KCNH1/KCNH5/BCHE/KCNN2/ADCY2/RIMS1/CAMK4/CACNB2/PRKAG2/KCNK2/DLG3/TUBB2A/GABBR2/TUBB3/GABRA2/SYN3/CAMK2A/SYT1/EPB41/NCALD/SHANK1/LRFN2/GRIA1/PPFIA4/SYN2/PRKAR2B/KCNA2/SHANK2/GABRG2/KCNH3/GABRA1/STX1A/CACNA1E/GRIN2B/GRIN2A/NRGN/HCN1/KCNJ6/CAMKK1/GRIP1/KCNQ5/GABRB2/CACNG3/NRG1/GRIN3A/KCNJ3/KCNB2/GRM1/CACNA1B/KCNH7/GABRG3/KCNC2/DLGAP2"
"REACTOME_METABOLISM_OF_RNA","REACTOME_METABOLISM_OF_RNA",171,0.340921595149862,2.31118286983968,2.06061958186926e-09,6.03761537487693e-07,4.06701233263669e-07,1998,"tags=84%, list=52%, signal=42%","MTO1/HSPB1/ZFP36/LENG1/SEH1L/QTRT2/PELP1/RRP1/NOP2/PES1/TRUB2/IMP4/NSUN4/CHERP/UTP20/THUMPD1/NSUN2/SF3B2/POLR2D/CASC3/BMS1/NUP188/SUGP1/NUP43/DDX23/EDC4/NUP214/FYTTD1/DDX49/MFAP1/TRIT1/POLR2A/SMNDC1/SRRT/EFTUD2/USP39/ZC3H18/NUP107/POLDIP3/FAM50A/CPSF3/HNRNPM/PSMC4/PSMD3/PABPC1/PUS7/POLR2I/CLNS1A/HTATSF1/NUP205/PSMD13/NUP50/DDX39A/ELAC2/CNOT8/CSNK1D/MAPKAPK2/PSMD6/EIF4B/ADRM1/DIS3/PSMC6/NUP58/CNOT11/EIF4A1/NSRP1/NUP98/UPF2/DCAF13/RBMX2/PHF5A/DDX21/RTCB/DDX46/PSMC1/LSM8/PSMB4/EIF4A3/CCDC12/EXOSC9/RBM28/POM121C/DHX38/U2AF2/URM1/ERCC3/PRPF6/PSMD2/LSM2/UBC/HNRNPL/NUP88/POLR2F/TRMT112/SNRNP40/PTBP1/PSMD11/BCAS2/DCP1A/SMG5/PSMD12/CNOT1/SRSF4/RCL1/UPF3B/RPS29/TGS1/HBS1L/SRSF10/HNRNPF/MTERF4/SNRPA1/RPS27L/RPL28/SNRPD2/RPS5/PRORP/THOC1/NUP153/HEATR1/REXO2/HNRNPA2B1/CWF19L2/RPL18/RPS27/DHX9/RBM17/CWC15/RPS28/AQR/YTHDC1/RPS19/WTAP/SRSF11/RPS9/RPL5/LRPPRC/UBL5/U2SURP/RPS16/NSUN6/HNRNPA1/XRN1/CCNH"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",89,-0.464724672419984,-2.16560553312824,2.93754131594353e-06,0.000573799737047637,0.000386518594203096,628,"tags=40%, list=16%, signal=35%","BCHE/ADCY2/RIMS1/CAMK4/CACNB2/PRKAG2/DLG3/TUBB2A/GABBR2/TUBB3/GABRA2/SYN3/CAMK2A/SYT1/NCALD/GRIA1/PPFIA4/SYN2/PRKAR2B/GABRG2/GABRA1/STX1A/CACNA1E/GRIN2B/GRIN2A/NRGN/KCNJ6/CAMKK1/GRIP1/GABRB2/CACNG3/NRG1/GRIN3A/KCNJ3/CACNA1B/GABRG3"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",75,0.384549847777642,2.23411298490732,1.40379459845873e-05,0.00205655908674204,0.00138532361690006,1983,"tags=91%, list=52%, signal=45%","LENG1/SEH1L/CHERP/SF3B2/POLR2D/CASC3/NUP188/SUGP1/NUP43/DDX23/NUP214/FYTTD1/MFAP1/POLR2A/SMNDC1/SRRT/EFTUD2/USP39/NUP107/POLDIP3/FAM50A/CPSF3/HNRNPM/POLR2I/HTATSF1/NUP205/NUP50/DDX39A/NUP58/NSRP1/NUP98/RBMX2/PHF5A/DDX46/LSM8/EIF4A3/CCDC12/POM121C/DHX38/U2AF2/PRPF6/LSM2/UBC/HNRNPL/NUP88/POLR2F/SNRNP40/PTBP1/BCAS2/SRSF4/UPF3B/SRSF10/HNRNPF/SNRPA1/SNRPD2/THOC1/NUP153/HNRNPA2B1/CWF19L2/DHX9/RBM17/CWC15/AQR/WTAP/SRSF11/UBL5/U2SURP/HNRNPA1"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION",67,-0.470335571671486,-2.10336823305314,2.44806685818756e-05,0.00286913435779581,0.00193268436172702,628,"tags=39%, list=16%, signal=33%","ADCY2/CAMK4/PRKAG2/DLG3/TUBB2A/GABBR2/TUBB3/GABRA2/CAMK2A/NCALD/GRIA1/PRKAR2B/GABRG2/GABRA1/GRIN2B/GRIN2A/NRGN/KCNJ6/CAMKK1/GRIP1/GABRB2/CACNG3/NRG1/GRIN3A/KCNJ3/GABRG3"
"REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",26,0.536973972153063,2.37469565769532,4.30792414309405e-05,0.00399465437135805,0.00269084855264823,876,"tags=58%, list=23%, signal=45%","CITED1/H2BC4/CTSD/FKBP4/H2AC6/SMC1A/POLR2D/CBFB/POLR2A/HSP90AB1/CXXC5/PTGES3/KAT5/HSP90AA1/POLR2I"
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",47,0.436442298643822,2.26733478836125,6.48277769406572e-05,0.00399465437135805,0.00269084855264823,1676,"tags=85%, list=44%, signal=49%","LMNA/RANGAP1/SEH1L/NDE1/TUBB4A/SMC1A/NUP188/NUP43/ANAPC2/NUP107/PSMC4/PSMD3/NUP205/PSMD13/NUDC/RCC2/IST1/PSMD6/ADRM1/PSMC6/NUP58/NUP98/CENPQ/UBE2I/PSMC1/PSMB4/DYNC1LI2/TUBA1A/PSMD2/STAG2/UBC/BUB3/PSMD11/CENPP/PSMD12/PPP1CC/KPNB1/DYNC1H1/AHCTF1/PPP2R5C"
"REACTOME_MRNA_SPLICING","REACTOME_MRNA_SPLICING",53,0.418536441410583,2.23012290436232,5.38853100638254e-05,0.00399465437135805,0.00269084855264823,1983,"tags=92%, list=52%, signal=45%","LENG1/CHERP/SF3B2/POLR2D/CASC3/SUGP1/DDX23/MFAP1/POLR2A/SMNDC1/SRRT/EFTUD2/USP39/FAM50A/HNRNPM/POLR2I/HTATSF1/NSRP1/RBMX2/PHF5A/DDX46/LSM8/EIF4A3/CCDC12/DHX38/U2AF2/PRPF6/LSM2/HNRNPL/POLR2F/SNRNP40/PTBP1/BCAS2/SRSF4/UPF3B/SRSF10/HNRNPF/SNRPA1/SNRPD2/HNRNPA2B1/CWF19L2/DHX9/RBM17/CWC15/AQR/SRSF11/UBL5/U2SURP/HNRNPA1"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION",83,0.337307852324959,1.98707867590126,7.49849796671306e-05,0.00399465437135805,0.00269084855264823,2104,"tags=88%, list=55%, signal=41%","MRPL39/CARS1/WARS1/EIF2B4/PPA1/GARS1/MRPL24/YARS1/MRPS2/EIF3D/SRPRA/PSMC4/PSMD3/PABPC1/NPLOC4/PSMD13/EEF1D/EIF5B/PSMD6/EIF4B/EIF5/ADRM1/PSMC6/KARS1/ANKZF1/EIF4A1/QARS1/EIF4H/UFD1/MRPS33/EIF3B/PSMC1/RARS1/IARS1/PSMB4/MRPL4/HARS2/AARS1/PSMD2/EEF2/UBC/TRMT112/GADD45GIP1/PSMD11/PSMD12/SARS1/RPS29/HBS1L/ELOB/SRP54/TCF25/RPS27L/RPL28/MRPL48/RPS5/EIF3J/SSR3/RPL18/RPS27/HARS1/UBE2D3/RPS28/RPS19/AURKAIP1/RPS9/RPL5/RPS16/NEMF/RPS8/RPS24/PPA2/RPL26/RPL24"
"REACTOME_CELL_CYCLE_MITOTIC","REACTOME_CELL_CYCLE_MITOTIC",108,0.306321271262264,1.942735229856,7.19207722577274e-05,0.00399465437135805,0.00269084855264823,1785,"tags=73%, list=46%, signal=40%","LMNA/ORC6/SMC4/CDKN2A/RANGAP1/H2BC4/CCP110/SEH1L/E2F6/NDE1/CDK11A/FEN1/CDK11B/H2AC6/TUBB4A/SMC1A/RFC4/NCAPD2/CDKN1C/NUP188/NUP43/NUP214/POLE4/ANAPC2/HSP90AB1/HAUS5/NUP107/CEP135/PSMC4/PSMD3/HSP90AA1/NUP205/PSMD13/NUP50/NUDC/RCC2/CSNK1D/IST1/PSMD6/ADRM1/PSMC6/NEDD1/NUP58/TUBGCP5/NUP98/MAX/CENPQ/UBE2I/PSMC1/PSMB4/DYNC1LI2/TUBA1A/POM121C/POLA1/NUMA1/PSMD2/STAG2/UBC/NUP88/BUB3/PSMD11/CENPP/RFC1/PSMD12/CNTRL/PPP1CC/POLD2/KPNB1/RBL2/DYNC1H1/AHCTF1/PPP2R5C/TUBGCP2/TUBGCP3/CDK5RAP2/NUP153/LIN52/SSNA1/PPP2CB"
