"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",77,-0.500399408613826,-2.74232164418418,9.16392982868048e-10,3.99547340530469e-07,3.92602046344522e-07,448,"tags=45%, list=15%, signal=40%","PRKAR2B/NCALD/TUBB2A/NLGN4X/TUBB2B/NSF/SLC38A1/GRIK1/NRXN2/GRIN2A/NTRK3/CACNB4/GNG10/DLGAP1/KCND3/CAMK2A/RIMS1/KCNH1/SYT1/PRKAA2/KCND2/GRM5/SLC1A2/CACNA2D3/NRXN1/GABRG3/GRIN2B/CACNA1E/GABRB1/PLCB1/GABRA2/KCNMB2/KCNQ3/DLGAP2/KCNQ5"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",51,-0.459878576151282,-2.28324459051917,1.47318178668011e-05,0.00321153629496263,0.00315571045883581,524,"tags=47%, list=18%, signal=39%","PRKCB/CACNA1A/PRKAR2B/NCALD/TUBB2A/TUBB2B/NSF/SLC38A1/GRIK1/GRIN2A/CACNB4/GNG10/CAMK2A/RIMS1/SYT1/PRKAA2/SLC1A2/CACNA2D3/GABRG3/GRIN2B/CACNA1E/GABRB1/PLCB1/GABRA2"
"REACTOME_ATTENUATION_PHASE","REACTOME_ATTENUATION_PHASE",11,0.762073923380346,2.21383577043759,2.97099861704186e-05,0.00323838849257563,0.0031820958872001,161,"tags=64%, list=5%, signal=60%","HSPB1/HSPA1B/HSPA1A/HSPH1/FKBP4/DEDD2/DNAJB1"
"REACTOME_HSF1_ACTIVATION","REACTOME_HSF1_ACTIVATION",11,0.762073923380346,2.21383577043759,2.97099861704186e-05,0.00323838849257563,0.0031820958872001,161,"tags=64%, list=5%, signal=60%","HSPB1/HSPA1B/HSPA1A/HSPH1/FKBP4/DEDD2/DNAJB1"
"REACTOME_NEUREXINS_AND_NEUROLIGINS","REACTOME_NEUREXINS_AND_NEUROLIGINS",14,-0.7007422387646,-2.33616019035025,4.71895719024991e-05,0.00411493066989792,0.00404340121354045,417,"tags=64%, list=14%, signal=55%","NLGN4X/NRXN2/GRIN2A/DLGAP1/SYT1/GRM5/NRXN1/GRIN2B/DLGAP2"
"REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE","REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE",31,0.537269427020247,2.23230998604517,7.29575060909948e-05,0.00530157877594562,0.00520942192614647,161,"tags=29%, list=5%, signal=28%","BAG3/HSPB1/HSPA1B/HSPA1A/HSPH1/FKBP4/HSPA4L/DEDD2/DNAJB1"
"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES",24,-0.560649581108099,-2.26051723791372,0.000187349272267049,0.0116691832440619,0.0114663389192013,880,"tags=75%, list=30%, signal=53%","DLG2/LRRTM4/NLGN1/IL1RAPL1/LRRC4B/GRIA4/GRIA3/NRXN3/NLGN4X/NRXN2/GRIN2A/NTRK3/DLGAP1/SYT1/GRM5/NRXN1/GRIN2B/DLGAP2"
"REACTOME_HSF1_DEPENDENT_TRANSACTIVATION","REACTOME_HSF1_DEPENDENT_TRANSACTIVATION",14,0.656114033793993,2.07638070845723,0.000496924679978804,0.0269607239247411,0.0264920681732729,161,"tags=50%, list=5%, signal=47%","HSPB1/HSPA1B/HSPA1A/HSPH1/FKBP4/DEDD2/DNAJB1"
"REACTOME_METABOLISM_OF_RNA","REACTOME_METABOLISM_OF_RNA",152,0.305692447877561,1.79702816149655,0.000556528704868508,0.0269607239247411,0.0264920681732729,1526,"tags=73%, list=52%, signal=37%","HSPB1/HSPA1A/THOC3/APOBEC2/MRM2/TFIP11/UTP14A/NUP107/TRIT1/PELP1/NIP7/CSTF2/STEEP1/CDK7/LSM10/DDX41/PRMT5/LTV1/UTP4/IMP4/PQBP1/TBRG4/EXOSC9/SRSF4/UTP3/PUS7/KRR1/RPL22L1/SF3B2/GLE1/SMG9/PTBP1/SUGP1/FBL/SNIP1/SNRPB/NSUN4/RIOK1/RPS27L/ZNF830/HNRNPL/PAPOLA/DHX8/PABPC1/SMG5/MPHOSPH6/NUP188/TRUB2/EIF4E/NSUN2/PRPF19/SYF2/SEH1L/RBBP6/ADRM1/PES1/PRPF8/PRORP/NOP10/TNPO1/NUP58/SEC13/EDC4/MPHOSPH10/RANBP2/ERI1/GNL3/RPL23/DDX39A/ELAVL1/SUPV3L1/KHSRP/MAPKAPK2/PSMC1/DDX6/CSNK1D/PRKCA/PDCD7/LSM5/ZCCHC8/NUP98/RPS26/URM1/NAT10/NSUN6/PSMD3/PSMC6/ADAR/RTCB/RBM28/PSMD11/XPO1/METTL14/MAPK14/PWP2/SNRNP200/DDX21/NUP88/CPSF1/CTNNBL1/CWC22/RBM27/PSMD12/EIF4B/FAM50A/PNPT1/UBL5/NUP153/UTP20/SRSF7/GTF2F2"
"REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND","REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND",20,0.571458635054437,2.05956749872039,0.0012076178230287,0.0438767809033762,0.0431140749098844,648,"tags=60%, list=22%, signal=47%","HSPA1B/FKBP5/HSPA1A/STIP1/DNAJA4/FKBP4/DNAJB1/DNAJA1/HSP90AB1/TUBA1C/PTGES3/TUBB4A"
