"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",77,-0.500399408613826,-2.77932181970506,5.98607380106683e-10,2.60992817726514e-07,2.57086116930028e-07,448,"tags=45%, list=15%, signal=40%","PRKAR2B/NCALD/TUBB2A/NLGN4X/TUBB2B/NSF/SLC38A1/GRIK1/NRXN2/GRIN2A/NTRK3/CACNB4/GNG10/DLGAP1/KCND3/CAMK2A/RIMS1/KCNH1/SYT1/PRKAA2/KCND2/GRM5/SLC1A2/CACNA2D3/NRXN1/GABRG3/GRIN2B/CACNA1E/GABRB1/PLCB1/GABRA2/KCNMB2/KCNQ3/DLGAP2/KCNQ5"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",51,-0.459878576151282,-2.27167340699723,1.43539099464691e-05,0.00197319417019923,0.00194365818793164,524,"tags=47%, list=18%, signal=39%","PRKCB/CACNA1A/PRKAR2B/NCALD/TUBB2A/TUBB2B/NSF/SLC38A1/GRIK1/GRIN2A/CACNB4/GNG10/CAMK2A/RIMS1/SYT1/PRKAA2/SLC1A2/CACNA2D3/GABRG3/GRIN2B/CACNA1E/GABRB1/PLCB1/GABRA2"
"REACTOME_ATTENUATION_PHASE","REACTOME_ATTENUATION_PHASE",11,0.762073923380346,2.24969272064051,1.81026988091673e-05,0.00197319417019923,0.00194365818793164,161,"tags=64%, list=5%, signal=60%","HSPB1/HSPA1B/HSPA1A/HSPH1/FKBP4/DEDD2/DNAJB1"
"REACTOME_HSF1_ACTIVATION","REACTOME_HSF1_ACTIVATION",11,0.762073923380346,2.24969272064051,1.81026988091673e-05,0.00197319417019923,0.00194365818793164,161,"tags=64%, list=5%, signal=60%","HSPB1/HSPA1B/HSPA1A/HSPH1/FKBP4/DEDD2/DNAJB1"
"REACTOME_NEUREXINS_AND_NEUROLIGINS","REACTOME_NEUREXINS_AND_NEUROLIGINS",14,-0.7007422387646,-2.29414905792106,4.59794569591876e-05,0.00400940864684116,0.00394939335565232,417,"tags=64%, list=14%, signal=55%","NLGN4X/NRXN2/GRIN2A/DLGAP1/SYT1/GRM5/NRXN1/GRIN2B/DLGAP2"
"REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE","REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE",31,0.537269427020247,2.2165050377259,0.000102203750480952,0.00742680586828249,0.00731563687653128,161,"tags=29%, list=5%, signal=28%","BAG3/HSPB1/HSPA1B/HSPA1A/HSPH1/FKBP4/HSPA4L/DEDD2/DNAJB1"
"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES",24,-0.560649581108099,-2.21775450488037,0.000201458207193634,0.0125479683337749,0.0123601426368425,880,"tags=75%, list=30%, signal=53%","DLG2/LRRTM4/NLGN1/IL1RAPL1/LRRC4B/GRIA4/GRIA3/NRXN3/NLGN4X/NRXN2/GRIN2A/NTRK3/DLGAP1/SYT1/GRM5/NRXN1/GRIN2B/DLGAP2"
"REACTOME_HSF1_DEPENDENT_TRANSACTIVATION","REACTOME_HSF1_DEPENDENT_TRANSACTIVATION",14,0.656114033793993,2.08569993330998,0.000600638893254463,0.0327348196823682,0.0322448247957659,161,"tags=50%, list=5%, signal=47%","HSPB1/HSPA1B/HSPA1A/HSPH1/FKBP4/DEDD2/DNAJB1"
"REACTOME_METABOLISM_OF_RNA","REACTOME_METABOLISM_OF_RNA",152,0.305692447877561,1.75875703704777,0.000870117530167649,0.0421523603503439,0.0415213979308071,1526,"tags=73%, list=52%, signal=37%","HSPB1/HSPA1A/THOC3/APOBEC2/MRM2/TFIP11/UTP14A/NUP107/TRIT1/PELP1/NIP7/CSTF2/STEEP1/CDK7/LSM10/DDX41/PRMT5/LTV1/UTP4/IMP4/PQBP1/TBRG4/EXOSC9/SRSF4/UTP3/PUS7/KRR1/RPL22L1/SF3B2/GLE1/SMG9/PTBP1/SUGP1/FBL/SNIP1/SNRPB/NSUN4/RIOK1/RPS27L/ZNF830/HNRNPL/PAPOLA/DHX8/PABPC1/SMG5/MPHOSPH6/NUP188/TRUB2/EIF4E/NSUN2/PRPF19/SYF2/SEH1L/RBBP6/ADRM1/PES1/PRPF8/PRORP/NOP10/TNPO1/NUP58/SEC13/EDC4/MPHOSPH10/RANBP2/ERI1/GNL3/RPL23/DDX39A/ELAVL1/SUPV3L1/KHSRP/MAPKAPK2/PSMC1/DDX6/CSNK1D/PRKCA/PDCD7/LSM5/ZCCHC8/NUP98/RPS26/URM1/NAT10/NSUN6/PSMD3/PSMC6/ADAR/RTCB/RBM28/PSMD11/XPO1/METTL14/MAPK14/PWP2/SNRNP200/DDX21/NUP88/CPSF1/CTNNBL1/CWC22/RBM27/PSMD12/EIF4B/FAM50A/PNPT1/UBL5/NUP153/UTP20/SRSF7/GTF2F2"
"REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND","REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND",20,0.571458635054437,2.03675005840242,0.00123546998194945,0.0538664912129959,0.0530601844879341,648,"tags=60%, list=22%, signal=47%","HSPA1B/FKBP5/HSPA1A/STIP1/DNAJA4/FKBP4/DNAJB1/DNAJA1/HSP90AB1/TUBA1C/PTGES3/TUBB4A"
