"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",38,-0.627620215933138,-2.43396936092297,5.58932816397531e-08,4.69503565773926e-06,2.94175166525016e-06,145,"tags=66%, list=25%, signal=53%","KCNQ3/CACNA2D3/LRRTM4/PRKAG2/GRIA2/DLGAP1/PRKCB/KCNK2/ADCY2/GRIP1/DLGAP2/GRM1/GABRB1/GRIA1/NLGN4Y/KCNQ5/KCND2/GRM5/KCNMA1/GABRB2/KCNMB2/SNAP25/SYT1/NRG1/NRXN1"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",13,0.662566486443044,2.48856802475251,0.000161635455338614,0.00678868912422179,0.00425356461417405,87,"tags=62%, list=15%, signal=54%","HSPA1A/IFITM2/HSPA1B/GBP2/IFIT2/YBX1/HSPA2/IFITM3"
"REACTOME_METABOLISM_OF_RNA","REACTOME_METABOLISM_OF_RNA",39,0.398968512389125,2.20628369389068,0.000266662627429354,0.00746655356802192,0.00467829170928692,328,"tags=95%, list=56%, signal=44%","HSPA1A/HSPB1/CSNK1E/YBX1/U2AF1/UBL5/RPS19/RPL27/FAU/RPL7A/PABPC1/EIF4A1/SRSF10/RPS2/SRSF7/RPS28/RPL18A/SEM1/SF3B1/RPL18/RPL30/RPL28/THOC2/SRSF11/RPS16/RPL3/RPS18/RPS3A/RPS12/RPL38/RPS24/RPS27A/RPL23/RPL26/RPL12/RPL36A/RPL39"
"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES",13,-0.664350444241154,-1.99505574983174,0.000617319839012382,0.01296371661926,0.00812262946068924,59,"tags=69%, list=10%, signal=64%","LRRTM4/DLGAP1/DLGAP2/GRM1/GRIA1/NLGN4Y/GRM5/SYT1/NRXN1"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION",14,-0.638275248203681,-1.9440479490462,0.000814267641233545,0.0136796963727236,0.00857123832877416,116,"tags=64%, list=20%, signal=53%","PRKAG2/GRIA2/PRKCB/ADCY2/GRIP1/GABRB1/GRIA1/GABRB2/NRG1"
"REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION",20,0.45617328470457,2.00334092933569,0.00169704686911739,0.0179871736117568,0.0112701589046095,213,"tags=85%, list=37%, signal=56%","HSPA1A/HSPA1B/CYBA/CD59/HSP90AA1/NFASC/LAMP1/LAMTOR1/MIF/EEF2/GSTP1/TIMP2/LAMP2/CD63/PSAP/HSP90AB1/RAC1"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",20,-0.58047152569919,-1.93380952259781,0.00136278398044319,0.0179871736117568,0.0112701589046095,116,"tags=60%, list=20%, signal=50%","CACNA2D3/PRKAG2/GRIA2/PRKCB/ADCY2/GRIP1/GABRB1/GRIA1/GABRB2/SNAP25/SYT1/NRG1"
"REACTOME_VIRAL_INFECTION_PATHWAYS","REACTOME_VIRAL_INFECTION_PATHWAYS",53,0.29732048164064,1.71825512330881,0.00171306415350064,0.0179871736117568,0.0112701589046095,383,"tags=96%, list=66%, signal=36%","HSPA1A/HSPA1B/YBX1/HSP90AA1/TMEM258/CDK19/SUN2/U2AF1/NFKBIA/RPS19/RPL27/FAU/RPL7A/PABPC1/EIF4A1/HSP90AB1/RPS2/RAC1/SRSF7/RPS28/RPL18A/SEM1/SF3B1/RPL18/RPL30/RPL28/SRSF11/RPS16/AKT3/ARID4B/RPL3/RPS18/PHF21A/SOS1/GPC5/TBL1XR1/RPS3A/RPS12/RPL38/RPS24/RPS27A/RPL23/RPL26/RPL12/RPL36A/RPL39/DYNC1I1/MNAT1/ANO10/RTN3/ATP6V1H"
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI","REACTOME_CELLULAR_RESPONSES_TO_STIMULI",60,0.285684702418299,1.72013006467148,0.00220786157139881,0.0206067079997223,0.0129114711777708,385,"tags=95%, list=66%, signal=36%","HSPA1A/HSPB1/HSPA1B/LMNA/CYBA/HSPA2/CRYAB/HSP90AA1/SPP1/MDM4/IGFBP7/LAMTOR1/PRDX1/NFKBIA/FNIP2/GSTP1/RPS19/RPL27/FAU/RPL7A/COX5B/HSP90AB1/RPS2/RPS28/RPL18A/SEM1/RPL18/RPL30/RPL28/RPS16/AKT3/RPL3/RPS18/NCOA1/SESN1/TBL1XR1/RPS3A/RPS12/RPL38/RPS24/RPS27A/RPL23/TNRC6A/GNAS/RPL26/RPL12/RPL36A/SCMH1/RPL39/MAPK1/DYNC1I1/MAP2K4/RORA/PDE4D/CACNB2/ATP6V1H/NDUFA4"
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION",26,0.395324175006483,1.91708312618928,0.00247512072574071,0.020791014096222,0.013026951188109,328,"tags=96%, list=56%, signal=44%","HSPA1A/HSP90AA1/RPS19/RPL27/FAU/RPL7A/RPS2/RPS28/RPL18A/RPL18/RPL30/RPL28/RPS16/RPL3/RPS18/RPS3A/RPS12/RPL38/RPS24/RPS27A/RPL23/RPL26/RPL12/RPL36A/RPL39"
