"condition","seurat_clusters","n","prop"
"AD","0",5286,0.225492705400563
"AD","1",2114,0.0901800187697295
"AD","2",1567,0.0668458322668714
"AD","3",2420,0.103233512498934
"AD","4",2141,0.0913317976281887
"AD","5",1457,0.0621533998805563
"AD","6",869,0.0370702158518898
"AD","7",855,0.0364729971845406
"AD","8",1559,0.0665045644569576
"AD","9",574,0.0244859653613173
"AD","10",846,0.0360890708983875
"AD","11",1353,0.0577169183516765
"AD","12",447,0.0190683388789352
"AD","13",544,0.0232062110741404
"AD","14",591,0.0252111594573842
"AD","15",327,0.0139493217302278
"AD","16",281,0.0119870318232233
"AD","17",128,0.00546028495862128
"AD","18",82,0.00349799505161676
"AD","19",1,4.26584762392287e-05
"Control","0",6372,0.173543590162595
"Control","1",6944,0.189122204973173
"Control","2",4132,0.112536427268023
"Control","3",2956,0.0805076667483727
"Control","4",2565,0.0698586485824005
"Control","5",1829,0.0498134379170412
"Control","6",1957,0.0532995615110167
"Control","7",1949,0.0530816787863932
"Control","8",1155,0.0314568183675137
"Control","9",1630,0.0443936051420323
"Control","10",1118,0.0304491107661301
"Control","11",532,0.0144892011874608
"Control","12",607,0.0165318517308059
"Control","13",438,0.0119290791731351
"Control","14",379,0.010322194079037
"Control","15",552,0.0150339079990195
"Control","16",590,0.016068850940981
"Control","17",568,0.0154696734482665
"Control","18",211,0.00574665686194406
"Control","19",233,0.00634583435465861
