"sample","condition","seurat_clusters","n","prop"
"AD_1","AD","0",254,0.120779838326201
"AD_1","AD","1",252,0.119828815977175
"AD_1","AD","2",144,0.0684736091298146
"AD_1","AD","3",118,0.0561103185924869
"AD_1","AD","4",111,0.0527817403708987
"AD_1","AD","5",239,0.113647170708512
"AD_1","AD","6",57,0.0271041369472183
"AD_1","AD","7",150,0.0713266761768902
"AD_1","AD","8",92,0.0437470280551593
"AD_1","AD","9",139,0.0660960532572515
"AD_1","AD","10",164,0.0779838326200666
"AD_1","AD","11",21,0.00998573466476462
"AD_1","AD","12",95,0.0451735615786971
"AD_1","AD","13",10,0.00475511174512601
"AD_1","AD","14",142,0.0675225867807893
"AD_1","AD","15",37,0.0175939134569662
"AD_1","AD","16",49,0.0233000475511175
"AD_1","AD","17",11,0.00523062291963861
"AD_1","AD","18",17,0.00808368996671422
"AD_1","AD","19",1,0.000475511174512601
"AD_10","AD","0",773,0.297880539499037
"AD_10","AD","1",151,0.0581888246628131
"AD_10","AD","2",65,0.0250481695568401
"AD_10","AD","3",354,0.136416184971098
"AD_10","AD","4",351,0.135260115606936
"AD_10","AD","5",90,0.0346820809248555
"AD_10","AD","6",96,0.0369942196531792
"AD_10","AD","7",9,0.00346820809248555
"AD_10","AD","8",259,0.0998073217726397
"AD_10","AD","9",3,0.00115606936416185
"AD_10","AD","10",29,0.0111753371868979
"AD_10","AD","11",251,0.0967244701348748
"AD_10","AD","12",5,0.00192678227360308
"AD_10","AD","13",112,0.0431599229287091
"AD_10","AD","14",1,0.000385356454720617
"AD_10","AD","15",32,0.0123314065510597
"AD_10","AD","16",12,0.0046242774566474
"AD_10","AD","17",1,0.000385356454720617
"AD_10","AD","18",1,0.000385356454720617
"AD_11","AD","0",762,0.294435857805255
"AD_11","AD","1",152,0.0587326120556414
"AD_11","AD","2",64,0.0247295208655332
"AD_11","AD","3",335,0.129443585780526
"AD_11","AD","4",342,0.132148377125193
"AD_11","AD","5",91,0.0351622874806801
"AD_11","AD","6",95,0.0367078825347759
"AD_11","AD","7",7,0.0027047913446677
"AD_11","AD","8",271,0.104714064914992
"AD_11","AD","9",4,0.00154559505409583
"AD_11","AD","10",31,0.0119783616692427
"AD_11","AD","11",271,0.104714064914992
"AD_11","AD","12",9,0.00347758887171561
"AD_11","AD","13",107,0.0413446676970634
"AD_11","AD","14",7,0.0027047913446677
"AD_11","AD","15",32,0.0123647604327666
"AD_11","AD","16",6,0.00231839258114374
"AD_11","AD","17",1,0.000386398763523957
"AD_11","AD","18",1,0.000386398763523957
"AD_12","AD","0",829,0.319706903200926
"AD_12","AD","1",151,0.0582337061318936
"AD_12","AD","2",65,0.0250674893945237
"AD_12","AD","3",343,0.132279213266487
"AD_12","AD","4",335,0.129193983802545
"AD_12","AD","5",90,0.0347088314693405
"AD_12","AD","6",96,0.0370227535672966
"AD_12","AD","7",8,0.00308522946394138
"AD_12","AD","8",274,0.105669109139992
"AD_12","AD","9",1,0.000385653682992673
"AD_12","AD","10",22,0.0084843810258388
"AD_12","AD","11",254,0.0979560354801388
"AD_12","AD","12",10,0.00385653682992673
"AD_12","AD","13",67,0.0258387967605091
"AD_12","AD","14",5,0.00192826841496336
"AD_12","AD","15",32,0.0123409178557655
"AD_12","AD","16",10,0.00385653682992673
"AD_12","AD","18",1,0.000385653682992673
"AD_13","AD","0",96,0.169312169312169
"AD_13","AD","1",59,0.104056437389771
"AD_13","AD","2",108,0.19047619047619
"AD_13","AD","3",55,0.0970017636684303
"AD_13","AD","4",41,0.072310405643739
"AD_13","AD","5",11,0.0194003527336861
"AD_13","AD","6",37,0.0652557319223986
"AD_13","AD","7",22,0.0388007054673721
"AD_13","AD","8",18,0.0317460317460317
"AD_13","AD","9",1,0.0017636684303351
"AD_13","AD","10",18,0.0317460317460317
"AD_13","AD","11",32,0.0564373897707231
"AD_13","AD","12",8,0.0141093474426808
"AD_13","AD","13",16,0.0282186948853616
"AD_13","AD","14",2,0.00352733686067019
"AD_13","AD","15",11,0.0194003527336861
"AD_13","AD","16",8,0.0141093474426808
"AD_13","AD","17",21,0.037037037037037
"AD_13","AD","18",3,0.00529100529100529
"AD_14","AD","0",102,0.180851063829787
"AD_14","AD","1",58,0.102836879432624
"AD_14","AD","2",112,0.198581560283688
"AD_14","AD","3",52,0.0921985815602837
"AD_14","AD","4",38,0.0673758865248227
"AD_14","AD","5",11,0.0195035460992908
"AD_14","AD","6",38,0.0673758865248227
"AD_14","AD","7",33,0.0585106382978723
"AD_14","AD","8",14,0.024822695035461
"AD_14","AD","9",1,0.00177304964539007
"AD_14","AD","10",18,0.0319148936170213
"AD_14","AD","11",30,0.0531914893617021
"AD_14","AD","12",9,0.0159574468085106
"AD_14","AD","13",14,0.024822695035461
"AD_14","AD","14",1,0.00177304964539007
"AD_14","AD","15",5,0.00886524822695036
"AD_14","AD","16",5,0.00886524822695036
"AD_14","AD","17",21,0.0372340425531915
"AD_14","AD","18",2,0.00354609929078014
"AD_15","AD","0",103,0.180701754385965
"AD_15","AD","1",60,0.105263157894737
"AD_15","AD","2",104,0.182456140350877
"AD_15","AD","3",61,0.107017543859649
"AD_15","AD","4",34,0.0596491228070175
"AD_15","AD","5",8,0.0140350877192982
"AD_15","AD","6",39,0.068421052631579
"AD_15","AD","7",32,0.056140350877193
"AD_15","AD","8",13,0.0228070175438597
"AD_15","AD","9",2,0.00350877192982456
"AD_15","AD","10",20,0.0350877192982456
"AD_15","AD","11",26,0.0456140350877193
"AD_15","AD","12",7,0.012280701754386
"AD_15","AD","13",11,0.0192982456140351
"AD_15","AD","14",2,0.00350877192982456
"AD_15","AD","15",15,0.0263157894736842
"AD_15","AD","16",10,0.0175438596491228
"AD_15","AD","17",20,0.0350877192982456
"AD_15","AD","18",3,0.00526315789473684
"AD_16","AD","0",101,0.17595818815331
"AD_16","AD","1",55,0.0958188153310105
"AD_16","AD","2",111,0.193379790940767
"AD_16","AD","3",56,0.0975609756097561
"AD_16","AD","4",40,0.0696864111498258
"AD_16","AD","5",10,0.0174216027874564
"AD_16","AD","6",39,0.0679442508710801
"AD_16","AD","7",24,0.0418118466898955
"AD_16","AD","8",16,0.0278745644599303
"AD_16","AD","9",1,0.00174216027874564
"AD_16","AD","10",22,0.0383275261324042
"AD_16","AD","11",33,0.0574912891986063
"AD_16","AD","12",10,0.0174216027874564
"AD_16","AD","13",12,0.0209059233449477
"AD_16","AD","14",2,0.00348432055749129
"AD_16","AD","15",11,0.0191637630662021
"AD_16","AD","16",10,0.0174216027874564
"AD_16","AD","17",19,0.0331010452961672
"AD_16","AD","18",2,0.00348432055749129
"AD_2","AD","0",261,0.123872804935928
"AD_2","AD","1",249,0.118177503559563
"AD_2","AD","2",145,0.0688182249644044
"AD_2","AD","3",125,0.0593260560037969
"AD_2","AD","4",116,0.0550545799715235
"AD_2","AD","5",237,0.112482202183199
"AD_2","AD","6",60,0.0284765068818225
"AD_2","AD","7",151,0.0716658756525866
"AD_2","AD","8",80,0.03796867584243
"AD_2","AD","9",138,0.0654959658281917
"AD_2","AD","10",163,0.0773611770289511
"AD_2","AD","11",20,0.0094921689606075
"AD_2","AD","12",96,0.045562411010916
"AD_2","AD","13",9,0.00427147603227337
"AD_2","AD","14",142,0.0673943996203132
"AD_2","AD","15",31,0.0147128618889416
"AD_2","AD","16",56,0.026578073089701
"AD_2","AD","17",11,0.00522069292833412
"AD_2","AD","18",17,0.00806834361651637
"AD_3","AD","0",255,0.121082621082621
"AD_3","AD","1",253,0.120132953466287
"AD_3","AD","2",144,0.0683760683760684
"AD_3","AD","3",125,0.0593542260208927
"AD_3","AD","4",109,0.0517568850902184
"AD_3","AD","5",229,0.108736942070275
"AD_3","AD","6",54,0.0256410256410256
"AD_3","AD","7",172,0.0816714150047483
"AD_3","AD","8",83,0.0394112060778727
"AD_3","AD","9",136,0.0645773979107312
"AD_3","AD","10",162,0.0769230769230769
"AD_3","AD","11",22,0.0104463437796771
"AD_3","AD","12",90,0.0427350427350427
"AD_3","AD","13",11,0.00522317188983856
"AD_3","AD","14",142,0.0674264007597341
"AD_3","AD","15",42,0.0199430199430199
"AD_3","AD","16",49,0.0232668566001899
"AD_3","AD","17",11,0.00522317188983856
"AD_3","AD","18",17,0.00807217473884141
"AD_4","AD","0",247,0.117507136060894
"AD_4","AD","1",251,0.119410085632731
"AD_4","AD","2",140,0.0666032350142721
"AD_4","AD","3",116,0.055185537583254
"AD_4","AD","4",110,0.0523311132254995
"AD_4","AD","5",233,0.110846812559467
"AD_4","AD","6",58,0.027592768791627
"AD_4","AD","7",181,0.0861084681255947
"AD_4","AD","8",88,0.0418648905803996
"AD_4","AD","9",126,0.0599429115128449
"AD_4","AD","10",162,0.077069457659372
"AD_4","AD","11",20,0.00951474785918173
"AD_4","AD","12",96,0.0456707897240723
"AD_4","AD","13",11,0.00523311132254995
"AD_4","AD","14",141,0.0670789724072312
"AD_4","AD","15",41,0.0195052331113225
"AD_4","AD","16",54,0.0256898192197907
"AD_4","AD","17",10,0.00475737392959087
"AD_4","AD","18",17,0.00808753568030447
"AD_5","AD","0",183,0.306532663316583
"AD_5","AD","1",67,0.112227805695142
"AD_5","AD","2",77,0.128978224455611
"AD_5","AD","3",85,0.142378559463987
"AD_5","AD","4",44,0.0737018425460637
"AD_5","AD","5",30,0.050251256281407
"AD_5","AD","6",27,0.0452261306532663
"AD_5","AD","7",14,0.0234505862646566
"AD_5","AD","8",25,0.0418760469011725
"AD_5","AD","9",2,0.0033500837520938
"AD_5","AD","10",2,0.0033500837520938
"AD_5","AD","11",17,0.0284757118927973
"AD_5","AD","12",1,0.0016750418760469
"AD_5","AD","13",20,0.033500837520938
"AD_5","AD","14",1,0.0016750418760469
"AD_5","AD","15",1,0.0016750418760469
"AD_5","AD","16",1,0.0016750418760469
"AD_6","AD","0",174,0.293423271500843
"AD_6","AD","1",65,0.109612141652614
"AD_6","AD","2",79,0.133220910623946
"AD_6","AD","3",92,0.155143338954469
"AD_6","AD","4",45,0.075885328836425
"AD_6","AD","5",28,0.0472175379426644
"AD_6","AD","6",27,0.045531197301855
"AD_6","AD","7",13,0.0219224283305228
"AD_6","AD","8",26,0.0438448566610455
"AD_6","AD","9",3,0.00505902192242833
"AD_6","AD","10",2,0.00337268128161889
"AD_6","AD","11",15,0.0252951096121417
"AD_6","AD","12",1,0.00168634064080944
"AD_6","AD","13",22,0.0370994940978078
"AD_6","AD","15",1,0.00168634064080944
"AD_7","AD","0",173,0.290268456375839
"AD_7","AD","1",63,0.105704697986577
"AD_7","AD","2",82,0.13758389261745
"AD_7","AD","3",88,0.147651006711409
"AD_7","AD","4",48,0.0805369127516778
"AD_7","AD","5",29,0.0486577181208054
"AD_7","AD","6",26,0.0436241610738255
"AD_7","AD","7",14,0.023489932885906
"AD_7","AD","8",24,0.0402684563758389
"AD_7","AD","9",4,0.00671140939597315
"AD_7","AD","10",2,0.00335570469798658
"AD_7","AD","11",18,0.0302013422818792
"AD_7","AD","12",2,0.00335570469798658
"AD_7","AD","13",22,0.0369127516778524
"AD_7","AD","15",1,0.00167785234899329
"AD_8","AD","0",179,0.300840336134454
"AD_8","AD","1",74,0.12436974789916
"AD_8","AD","2",66,0.110924369747899
"AD_8","AD","3",92,0.154621848739496
"AD_8","AD","4",45,0.0756302521008403
"AD_8","AD","5",31,0.0521008403361345
"AD_8","AD","6",27,0.0453781512605042
"AD_8","AD","7",13,0.0218487394957983
"AD_8","AD","8",21,0.0352941176470588
"AD_8","AD","9",2,0.00336134453781513
"AD_8","AD","10",2,0.00336134453781513
"AD_8","AD","11",18,0.0302521008403361
"AD_8","AD","12",1,0.00168067226890756
"AD_8","AD","13",23,0.038655462184874
"AD_8","AD","15",1,0.00168067226890756
"AD_9","AD","0",794,0.306327160493827
"AD_9","AD","1",154,0.0594135802469136
"AD_9","AD","2",61,0.023533950617284
"AD_9","AD","3",323,0.124614197530864
"AD_9","AD","4",332,0.128086419753086
"AD_9","AD","5",90,0.0347222222222222
"AD_9","AD","6",93,0.0358796296296296
"AD_9","AD","7",12,0.00462962962962963
"AD_9","AD","8",255,0.0983796296296296
"AD_9","AD","9",11,0.00424382716049383
"AD_9","AD","10",27,0.0104166666666667
"AD_9","AD","11",305,0.11766975308642
"AD_9","AD","12",7,0.00270061728395062
"AD_9","AD","13",77,0.0297067901234568
"AD_9","AD","14",3,0.00115740740740741
"AD_9","AD","15",34,0.0131172839506173
"AD_9","AD","16",11,0.00424382716049383
"AD_9","AD","17",2,0.000771604938271605
"AD_9","AD","18",1,0.000385802469135802
"WT_1","Control","0",533,0.199625468164794
"WT_1","Control","1",562,0.210486891385768
"WT_1","Control","2",422,0.158052434456929
"WT_1","Control","3",282,0.10561797752809
"WT_1","Control","4",172,0.0644194756554307
"WT_1","Control","5",124,0.0464419475655431
"WT_1","Control","6",127,0.0475655430711611
"WT_1","Control","7",15,0.00561797752808989
"WT_1","Control","8",107,0.0400749063670412
"WT_1","Control","9",7,0.00262172284644195
"WT_1","Control","10",51,0.0191011235955056
"WT_1","Control","11",49,0.0183520599250936
"WT_1","Control","12",10,0.00374531835205993
"WT_1","Control","13",26,0.00973782771535581
"WT_1","Control","14",13,0.0048689138576779
"WT_1","Control","15",24,0.00898876404494382
"WT_1","Control","16",36,0.0134831460674157
"WT_1","Control","17",92,0.0344569288389513
"WT_1","Control","18",18,0.00674157303370787
"WT_10","Control","0",115,0.211009174311927
"WT_10","Control","1",103,0.188990825688073
"WT_10","Control","2",72,0.132110091743119
"WT_10","Control","3",42,0.0770642201834862
"WT_10","Control","4",32,0.0587155963302752
"WT_10","Control","5",35,0.0642201834862385
"WT_10","Control","6",38,0.0697247706422018
"WT_10","Control","7",17,0.0311926605504587
"WT_10","Control","8",12,0.0220183486238532
"WT_10","Control","9",1,0.0018348623853211
"WT_10","Control","10",25,0.0458715596330275
"WT_10","Control","11",10,0.018348623853211
"WT_10","Control","12",11,0.0201834862385321
"WT_10","Control","13",6,0.0110091743119266
"WT_10","Control","14",1,0.0018348623853211
"WT_10","Control","15",8,0.0146788990825688
"WT_10","Control","16",10,0.018348623853211
"WT_10","Control","17",3,0.0055045871559633
"WT_10","Control","18",4,0.0073394495412844
"WT_11","Control","0",105,0.193014705882353
"WT_11","Control","1",103,0.189338235294118
"WT_11","Control","2",84,0.154411764705882
"WT_11","Control","3",48,0.0882352941176471
"WT_11","Control","4",31,0.0569852941176471
"WT_11","Control","5",35,0.0643382352941176
"WT_11","Control","6",40,0.0735294117647059
"WT_11","Control","7",10,0.0183823529411765
"WT_11","Control","8",14,0.0257352941176471
"WT_11","Control","9",1,0.00183823529411765
"WT_11","Control","10",22,0.0404411764705882
"WT_11","Control","11",10,0.0183823529411765
"WT_11","Control","12",12,0.0220588235294118
"WT_11","Control","13",6,0.0110294117647059
"WT_11","Control","14",3,0.00551470588235294
"WT_11","Control","15",5,0.00919117647058824
"WT_11","Control","16",9,0.0165441176470588
"WT_11","Control","17",2,0.00367647058823529
"WT_11","Control","18",4,0.00735294117647059
"WT_12","Control","0",108,0.199261992619926
"WT_12","Control","1",104,0.191881918819188
"WT_12","Control","2",74,0.136531365313653
"WT_12","Control","3",47,0.0867158671586716
"WT_12","Control","4",29,0.0535055350553506
"WT_12","Control","5",34,0.0627306273062731
"WT_12","Control","6",35,0.0645756457564576
"WT_12","Control","7",21,0.0387453874538745
"WT_12","Control","8",12,0.022140221402214
"WT_12","Control","9",2,0.003690036900369
"WT_12","Control","10",28,0.0516605166051661
"WT_12","Control","11",7,0.0129151291512915
"WT_12","Control","12",12,0.022140221402214
"WT_12","Control","13",3,0.00553505535055351
"WT_12","Control","14",2,0.003690036900369
"WT_12","Control","15",9,0.0166051660516605
"WT_12","Control","16",10,0.018450184501845
"WT_12","Control","17",1,0.0018450184501845
"WT_12","Control","18",4,0.00738007380073801
"WT_13","Control","0",91,0.0413260672116258
"WT_13","Control","1",372,0.168937329700272
"WT_13","Control","2",89,0.0404178019981835
"WT_13","Control","3",68,0.0308810172570391
"WT_13","Control","4",64,0.0290644868301544
"WT_13","Control","5",49,0.022252497729337
"WT_13","Control","6",113,0.0513169845594914
"WT_13","Control","7",441,0.200272479564033
"WT_13","Control","8",16,0.0072661217075386
"WT_13","Control","9",403,0.183015440508629
"WT_13","Control","10",94,0.0426884650317893
"WT_13","Control","11",33,0.0149863760217984
"WT_13","Control","12",99,0.0449591280653951
"WT_13","Control","13",16,0.0072661217075386
"WT_13","Control","14",47,0.0213442325158946
"WT_13","Control","15",60,0.0272479564032698
"WT_13","Control","16",34,0.0154405086285195
"WT_13","Control","17",41,0.0186194368755677
"WT_13","Control","18",16,0.0072661217075386
"WT_13","Control","19",56,0.0254314259763851
"WT_14","Control","0",93,0.0420433996383363
"WT_14","Control","1",373,0.168625678119349
"WT_14","Control","2",90,0.0406871609403255
"WT_14","Control","3",64,0.0289330922242315
