"sample","condition","n_cells","median_nCount","median_nFeat","median_pctMT_orig"
"AD_1","AD",2103,819,596,0
"AD_10","AD",2595,885,638,0
"AD_11","AD",2588,883,638,0
"AD_12","AD",2593,882,639,0
"AD_13","AD",567,630,498,0.478468899521531
"AD_14","AD",564,635,502,0.482083206802308
"AD_15","AD",570,637.5,504,0.495582735125501
"AD_16","AD",574,633,500,0.502092401808373
"AD_2","AD",2107,820,594,0
"AD_3","AD",2106,823.5,594.5,0
"AD_4","AD",2102,833,601,0
"AD_5","AD",597,753,554,0.384615384615385
"AD_6","AD",593,754,553,0.384615384615385
"AD_7","AD",596,750.5,550.5,0.366356699781002
"AD_8","AD",595,743,545,0.391389432485323
"AD_9","AD",2592,885.5,640,0
"WT_1","Control",2670,741,554,0.135043950833425
"WT_10","Control",545,845,597,0.15748031496063
"WT_11","Control",544,848.5,600,0.1558847400625
"WT_12","Control",542,883,619,0.155644379844961
"WT_13","Control",2202,1028.5,734,0.0371472306753331
"WT_14","Control",2212,1027,731.5,0.0459032628507011
"WT_15","Control",2199,1028,732,0.0407830342577488
"WT_16","Control",2207,1032,732,0.040983606557377
"WT_2","Control",2677,758,562,0.132450331125828
"WT_3","Control",2676,739.5,551,0.141143330703705
"WT_4","Control",2671,756,563,0.12970168612192
"WT_5","Control",3759,852,603,0
"WT_6","Control",3754,834,591,0
"WT_7","Control",3758,834,590.5,0
"WT_8","Control",3760,832,590,0
"WT_9","Control",541,886,615,0.156494522691706
