"celltype","mean_AD","mean_Control","log2FC","p_value","FDR","direction"
"Ex_L6",1.48597242035188e-05,0.00328990913691958,-7.69697470033543,0.0439203117099468,0.186281676095175,"Not significant"
"Ex_L2_3",0.00908478073948029,0.0231714944326754,-1.35073095788697,0.212072769530407,0.51503386885956,"Not significant"
"Ex_L6b",0.00160748557521135,0.00319843504069467,-0.992114177071244,0.0547887282632867,0.186281676095175,"Not significant"
"Astrocytes",0.0491252426567079,0.0941678218746351,-0.938755579464023,0.0244303796737678,0.148994281133874,"Not significant"
"Ex_L5_6",0.0190823600562425,0.0294180766657529,-0.624436754777009,0.403619326982586,0.623775323518542,"Not significant"
"In_LAMP5",0.00542165407722713,0.00826154410225569,-0.607586926520233,0.199147174155334,0.51503386885956,"Not significant"
"Cajal_Retzius",0.00513859581276749,0.007322956446452,-0.510968304152939,0.466169065730642,0.631449517300005,"Not significant"
"Astrocytes_Reactive",0.0220054839339346,0.0279641163148557,-0.345699672567436,0.381092891969921,0.623775323518542,"Not significant"
"In_PVALB",0.00810219339327214,0.0102530409771305,-0.33963009025858,0.606549960614393,0.736524952174621,"Not significant"
"In_LAMP5_PAX6",0.00632420180705436,0.00791314653125169,-0.323322267141099,0.482873160288239,0.631449517300005,"Not significant"
"In_VIP",0.0156846336201041,0.0176652435859983,-0.171551501007706,0.734967692509634,0.780903173291486,"Not significant"
"OPCs",0.051445354606724,0.0573733409238371,-0.157336821907627,0.727922638199863,0.780903173291486,"Not significant"
"Microglia",0.0266742653637279,0.0244082296568465,0.128075857854135,0.783145575783805,0.783145575783805,"Not significant"
"Oligodendrocytes",0.208036658751151,0.154006018775762,0.433848604733117,0.302709169069386,0.603936284689616,"Not significant"
"In_SST",0.00904895950185156,0.00485128827766685,0.899246071742535,0.319730974247444,0.603936284689616,"Not significant"
"Endothelial",0.0124670985269001,0.00542069361077655,1.20142596934262,0.0241639204668297,0.148994281133874,"Not significant"
"COPs",0.0507361718534399,0.0213146436464896,1.25113048467942,0.0262931084353896,0.148994281133874,"Not significant"
