"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.52113358152723,0.912,0.364,0,"0","PLP1"
0,1.80802207801429,0.886,0.369,0,"0","CTNNA3"
0,1.61325647281507,0.768,0.274,0,"0","ST18"
0,1.49939521519916,0.849,0.365,0,"0","MBP"
0,1.59244485250107,0.727,0.285,0,"0","TMEM144"
0,1.50273039061352,0.812,0.392,0,"0","SLC44A1"
0,2.12068878524759,0.571,0.161,0,"0","LINC01608"
0,1.71727731932159,0.75,0.346,0,"0","SLC24A2"
0,1.57180205104151,0.673,0.274,0,"0","RNF220"
0,1.54869120750611,0.738,0.34,0,"0","PIP4K2A"
0,1.51971738443536,0.766,0.382,0,"0","EDIL3"
0,1.56533897270834,0.977,0.613,0,"0","IL1RAPL1"
0,1.64119251037251,0.699,0.335,0,"0","TTLL7"
0,1.60230196006118,0.59,0.25,0,"0","PRUNE2"
0,1.61115727571709,0.602,0.272,0,"0","SHTN1"
0,1.40024611797223,0.651,0.322,0,"0","SPOCK3"
0,1.41911016635957,0.719,0.392,0,"0","TMTC2"
0,1.33765552505351,0.771,0.448,0,"0","FRMD5"
0,1.50586338291805,0.719,0.4,0,"0","PHLPP1"
0,1.44308242870899,0.786,0.471,0,"0","ANK3"
0,1.73879129825344,0.507,0.192,0,"0","KCNH8"
0,1.77654833107084,0.456,0.151,0,"0","ENSG00000227088"
0,1.60431747246585,0.652,0.348,0,"0","UNC5C"
0,1.43669050068221,0.509,0.215,0,"0","MIR219A2HG"
0,1.39547434838797,0.613,0.321,0,"0","DOCK10"
0,1.27780879547561,0.869,0.578,0,"0","PDE4B"
0,1.6774188099926,0.495,0.204,0,"0","CREB5"
0,1.56662418058632,0.52,0.232,0,"0","PDE1C"
0,1.44499854898241,0.576,0.288,0,"0","MAN2A1"
0,1.66525274936094,0.451,0.164,0,"0","ENPP2"
0,1.34712777789826,0.676,0.39,0,"0","MARCHF1"
0,1.72746519499366,0.499,0.213,0,"0","PALM2AKAP2"
0,1.17593443701454,0.616,0.33,0,"0","ELMO1"
0,1.49733364699709,0.485,0.2,0,"0","CNP"
0,1.34371905906512,0.666,0.386,0,"0","ERBIN"
0,1.93713090229001,0.415,0.135,0,"0","HHIP"
0,1.29921135005388,0.696,0.424,0,"0","SEPTIN7"
0,1.2313684049545,0.486,0.215,0,"0","TF"
0,1.41984842897052,0.525,0.255,0,"0","PLCL1"
0,1.42728726508087,0.562,0.293,0,"0","FRYL"
0,1.88890269493989,0.391,0.122,0,"0","SLCO1A2"
0,1.30722102543612,0.814,0.549,0,"0","SIK3"
0,1.66144680347052,0.404,0.143,0,"0","MOBP"
0,1.30899153993137,0.46,0.203,0,"0","CLDND1"
0,1.79558626123592,0.389,0.136,0,"0","CLMN"
0,1.41014240219978,0.585,0.336,0,"0","ARAP2"
0,1.15787023803884,0.589,0.341,0,"0","PEX5L"
0,1.23336647938664,0.605,0.358,0,"0","NCKAP5"
0,1.08749031501127,0.482,0.239,0,"0","QDPR"
0,1.31002388110316,0.446,0.204,0,"0","FRMD4B"
0,1.4811593419217,0.507,0.265,0,"0","TMEFF2"
0,1.34067168473751,0.592,0.353,0,"0","DLG1"
0,1.82234313502035,0.372,0.134,0,"0","SLC7A14-AS1"
0,0.708469142665213,0.777,0.54,0,"0","PTPRD"
0,1.8823957030304,0.363,0.126,0,"0","LPAR1"
0,1.43496726725259,0.466,0.233,0,"0","SLAIN1"
0,1.14474112299221,0.929,0.697,0,"0","QKI"
0,1.33020130985778,0.497,0.265,0,"0","PDE8A"
0,1.44352501300802,0.433,0.203,0,"0","ZNF536"
0,1.16540542727722,0.552,0.323,0,"0","PTPRK"
0,1.38079865255515,0.44,0.211,0,"0","LAMP2"
0,1.17636865602365,0.621,0.392,0,"0","ZEB2"
0,1.34939699196361,0.529,0.304,0,"0","TRIM2"
