"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.12068878524759,0.571,0.161,0,"0","LINC01608"
0,1.94394067096431,0.302,0.095,0,"0","LINC00639"
0,1.93713090229001,0.415,0.135,0,"0","HHIP"
0,1.88890269493989,0.391,0.122,0,"0","SLCO1A2"
0,1.8823957030304,0.363,0.126,0,"0","LPAR1"
0,1.83638152133295,0.275,0.098,0,"0","LINC01170"
0,1.82234313502035,0.372,0.134,0,"0","SLC7A14-AS1"
0,1.80802207801429,0.886,0.369,0,"0","CTNNA3"
0,1.79558626123592,0.389,0.136,0,"0","CLMN"
0,1.79489599148133,0.32,0.101,0,"0","OPALIN"
0,5.15637143516649,0.484,0.019,0,"1","GNA14"
0,5.09011297871386,0.341,0.011,0,"1","SLCO1C1"
0,5.01456010217407,0.613,0.025,0,"1","LINC00499"
0,4.99943198021891,0.749,0.035,0,"1","OBI1-AS1"
0,4.91798244460825,0.357,0.013,0,"1","GLI3"
0,4.8439612660282,0.939,0.125,0,"1","SLC1A2"
0,4.70874910955174,0.593,0.032,0,"1","TPD52L1"
0,4.48438633536258,0.378,0.017,0,"1","ETNPPL"
0,4.44322220017074,0.447,0.025,0,"1","PAMR1"
0,4.43667376734639,0.556,0.039,0,"1","COL5A3"
0,8.5424028762281,0.549,0.003,0,"2","ENSG00000278254"
0,6.83187709362569,0.396,0.005,0,"2","PDGFRA"
0,6.45765255915099,0.338,0.007,0,"2","MIR3681HG"
0,6.2511740864819,0.254,0.005,0,"2","COL9A1"
0,6.09954258448927,0.882,0.045,0,"2","PCDH15"
0,6.04808667158847,0.328,0.008,0,"2","ENSG00000231424"
0,5.98817967870553,0.253,0.005,0,"2","GPNMB"
0,5.86720760126796,0.414,0.011,0,"2","MEGF11"
0,5.75393109964874,0.942,0.062,0,"2","LHFPL3"
0,5.70556321997581,0.865,0.067,0,"2","TNR"
0,2.50247085858564,0.65,0.172,0,"3","DBNDD2"
0,2.38727676875087,0.308,0.074,0,"3","EVI2A"
0,2.30766209475291,0.749,0.285,0,"3","CRYAB"
0,2.29948963764992,0.424,0.114,0,"3","SELENOP"
0,2.2318638930085,0.307,0.086,0,"3","CBR1"
0,2.21224959467388,0.268,0.071,0,"3","HSPA2"
0,2.20888550781818,0.469,0.129,0,"3","PPP1R14A"
0,2.12710206680577,0.482,0.139,0,"3","RNASE1"
0,2.12337811911885,0.639,0.215,0,"3","CLDND1"
0,2.11478979942978,0.5,0.149,0,"3","CD9"
0,3.21008240760665,0.365,0.046,0,"4","ENSG00000228793"
0,3.1648824861387,0.498,0.067,0,"4","SLC5A11"
0,2.81615873999377,0.537,0.097,0,"4","ENSG00000286749"
0,2.38924060847767,0.261,0.049,0,"4","LRP2"
0,2.29646407033515,0.372,0.079,0,"4","LINC02882"
0,2.17953027636026,0.402,0.112,0,"4","SYNJ2"
0,2.05012884731707,0.363,0.096,0,"4","CDK18"
0,2.02248413340164,0.374,0.105,0,"4","LINC00609"
0,2.00138844994255,0.625,0.175,0,"4","ENSG00000227088"
0,1.90672123871847,0.327,0.096,0,"4","PCSK6"
0,9.24982454738803,0.42,0.002,0,"5","SYK"
0,8.65016951017995,0.343,0.002,0,"5","CSF3R"
0,8.58936504030794,0.266,0.002,0,"5","LNCAROD"
0,8.51316715301748,0.553,0.004,0,"5","APBB1IP"
0,8.41235460661114,0.542,0.004,0,"5","ADAM28"
0,8.37385831730177,0.456,0.004,0,"5","LINC01374"
0,8.15790630607176,0.296,0.002,0,"5","SAMSN1"
0,8.07652745508787,0.375,0.003,0,"5","SLCO2B1"
0,8.06768200736644,0.577,0.006,0,"5","DOCK8"
0,7.95963795054233,0.327,0.003,0,"5","CSF2RA"
0,5.25881790793082,0.357,0.013,0,"6","TNC"
0,5.23881804445379,0.543,0.021,0,"6","ENSG00000287704"
0,4.75107580962378,0.369,0.02,0,"6","ID3"
0,4.52717297035081,0.278,0.018,0,"6","LINC01094"
0,4.25423856263895,0.3,0.019,0,"6","CD44"
0,4.10003347492328,0.36,0.027,0,"6","WDR49"
0,3.71782794118054,0.823,0.108,0,"6","GFAP"
0,3.51000844687524,0.317,0.033,0,"6","AEBP1"
0,3.27284813941625,0.978,0.335,0,"6","DPP10"
0,3.26596660649761,0.353,0.061,0,"6","SLC38A1"
0,7.02579904896565,0.391,0.005,0,"7","ENSG00000287172"
