"cluster","top_genes"
"0","LINC01608, LINC00639, HHIP, SLCO1A2, LPAR1, LINC01170, SLC7A14-AS1, CTNNA3, CLMN, OPALIN"
"1","GNA14, SLCO1C1, LINC00499, OBI1-AS1, GLI3, SLC1A2, TPD52L1, ETNPPL, PAMR1, COL5A3"
"2","ENSG00000278254, PDGFRA, MIR3681HG, COL9A1, PCDH15, ENSG00000231424, GPNMB, MEGF11, LHFPL3, TNR"
"3","DBNDD2, EVI2A, CRYAB, SELENOP, CBR1, HSPA2, PPP1R14A, RNASE1, CLDND1, CD9"
"4","ENSG00000228793, SLC5A11, ENSG00000286749, LRP2, LINC02882, SYNJ2, CDK18, LINC00609, ENSG00000227088, PCSK6"
"5","SYK, CSF3R, LNCAROD, APBB1IP, ADAM28, LINC01374, SAMSN1, SLCO2B1, DOCK8, CSF2RA"
"6","TNC, ENSG00000287704, ID3, LINC01094, CD44, WDR49, GFAP, AEBP1, DPP10, SLC38A1"
"7","ENSG00000287172, LINC03000, ENSG00000253693, ENSG00000254394, ENSG00000239498, PYDC2-AS1, CPNE4, HTR1F, IL1RAPL2, TSHZ2"
"8","CNDP1, CDH19, ITPKB, PEX5L, QDPR, MYRF, DOCK5, PLD1, GPR37, NFASC"
"9","ENSG00000251293, CBLN2, TESPA1, ENSG00000229618, ENC1, LY86-AS1, EPIC1, CDH12, CUX2, LINC01250"
"10","VIP, CALB2, HTR2C, DLX6-AS1, SYNPR, CNR1, ABTB3, C8orf34, CCK, SCG2"
"11","XIST, TMTC4, CCP110, KCNMB4, SYNJ2, CLMN, SUN2, ERBIN, SLC44A1, PRUNE2"
"12","TAC1, ANK1, TRPC4, ABTB3, KIAA1217, SAMD5, KCNC2, GAD2, ENSG00000227681, ELAVL2"
"13","ARHGAP29, LAMA2, ATP1A2, PPFIBP1, PTN, SLC20A2, PTGDS, LHFPL6, B2M, TACC1"
"14","SST, GRIN3A, GRIK1, GRIK3, KIAA1217, ROBO2, PAWR, KIF26B, SYNPR, CDH9"
"15","ENSG00000251031, SV2C, FGF13, NXPH2, ENSG00000250842, TACR1, GAD2, PRELID2, ANKRD55, KIT"
"16","CXCL14, CHRNA7, RELN, CNR1, THSD7B, IL1RAPL2, CCK, GRIP2, PRR16, FSTL5"
"17","CRTAM, ENSG00000243620, PKIB, CHGB, UNC13C, CADPS2, SPHKAP, CDH18, ZNF385D, RIT2"
"18","ENSG00000289413, ENSG00000229588, NPNT, SCN1A-AS1, CNTN5, ZNF385D, MARCHF11, PLCXD3, THSD7A, HTR1F"
"19","ADAMTSL1, SEMA3E, COL24A1, LINC02217, TBR1, NPTX1, ENSG00000286481, RXFP1, LINC01821, GLIS1"
