"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"S100A10",13.8039790967899,3.47104032947076,0.271690208656964,12.7757284542164,2.24040254759268e-37,3.96327210669146e-34,"S100A10","Astrocytes"
"SYNM",16.5489242293544,3.05930006980973,0.248980097266709,12.2873277960551,1.05950725218245e-34,1.45776425597503e-31,"SYNM","Astrocytes"
"KLF6",18.6440715687732,1.67490728335465,0.139772750879428,11.9830744749345,4.35854282183428e-33,5.39718357627739e-30,"KLF6","Astrocytes"
"PTPRE",12.9647450064043,1.90549272214443,0.165815811460411,11.4916225742403,1.45355786493081e-30,1.38456977241832e-27,"PTPRE","Astrocytes"
"NHS",23.4294909759711,1.43769054058036,0.13177142753862,10.9104877091735,1.02703861177762e-27,7.48107007626014e-25,"NHS","Astrocytes"
"YARS1",21.1642898427,2.18960478793602,0.201515532860539,10.8656874080837,1.67953520620827e-27,1.15542691435984e-24,"YARS1","Astrocytes"
"AEBP1",110.176919041787,2.4894696704213,0.232882594089992,10.6898056514232,1.13608790695464e-26,7.03408827590963e-24,"AEBP1","Astrocytes"
"LENG8",49.3722033313214,1.27679849198165,0.121407383770404,10.5166461242277,7.24052029929731e-26,3.90855420709523e-23,"LENG8","Astrocytes"
"SMC5",40.020105748243,1.19068262466409,0.117147689119004,10.1639446208327,2.87215584905051e-24,1.14728728641266e-21,"SMC5","Astrocytes"
"PLEKHA5",136.427523825871,1.81549015598006,0.179022593128795,10.1411231077071,3.62902974327679e-24,1.40432110346864e-21,"PLEKHA5","Astrocytes"
"NAA25",28.6075697407817,1.323215011978,0.132071541076944,10.0189261152567,1.25863032142689e-23,4.58400566771446e-21,"NAA25","Astrocytes"
"AHNAK2",3.98574154725943,3.81537565524957,0.389348904534039,9.79937431650332,1.13285175469597e-22,3.50702581960005e-20,"AHNAK2","Astrocytes"
"ENSG00000259616",26.4314214255178,2.06140749253619,0.210429988580362,9.7961678677227,1.16938147657591e-22,3.53181727425353e-20,"ENSG00000259616","Astrocytes"
"GBP2",21.9378685517264,6.97302899733047,0.72782379791917,9.58065539663058,9.64310479733965e-22,2.43695034092769e-19,"GBP2","Astrocytes"
"PLCD3",10.0576225162801,1.93287419313645,0.203660261657048,9.49067912124801,2.29533938528629e-21,5.57317404078434e-19,"PLCD3","Astrocytes"
"MYO9B",14.6904039351208,1.60343603500698,0.170213748685924,9.42013231825136,4.50519925989885e-21,1.03310893398755e-18,"MYO9B","Astrocytes"
"PITPNM2",24.4665467731389,1.05849682287861,0.116532512210876,9.08327472562477,1.05356265826406e-19,2.10423651569095e-17,"PITPNM2","Astrocytes"
"ENSG00000290122",15.1278020944083,2.68210677522142,0.29534406103379,9.08129578036294,1.07289829796084e-19,2.10884121010302e-17,"ENSG00000290122","Astrocytes"
"GFAP",599.684937411431,1.77706615920527,0.197596743696567,8.99339799816828,2.39702354520159e-19,4.43020038212408e-17,"GFAP","Astrocytes"
"BAIAP2",16.9116398424437,1.56673896052708,0.174334537091536,8.98696831199,2.54143868382873e-19,4.6280345914487e-17,"BAIAP2","Astrocytes"
"ITGA3",7.37355481390456,2.07873887720582,0.231823597250395,8.96689940912509,3.04978418439896e-19,5.47325761672643e-17,"ITGA3","Astrocytes"
"CHSY3",8.35703311929092,2.09567742857055,0.23741265239276,8.82715140684077,1.07375400505435e-18,1.84670775619279e-16,"CHSY3","Astrocytes"
"TMEM248",14.3328528785073,1.4902600365312,0.170318587150733,8.74983794465318,2.13659350041196e-18,3.52765830874685e-16,"TMEM248","Astrocytes"
"SMC5-DT",8.87313871333643,1.62353551639561,0.186254594489156,8.71675418718396,2.86290784219909e-18,4.60407633895472e-16,"SMC5-DT","Astrocytes"
"CPSF4",13.3644567060114,2.1620674159247,0.248168756997783,8.71208544572762,2.98334661979295e-18,4.73625399908924e-16,"CPSF4","Astrocytes"
