"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"HSPA1A",15.8972897437189,4.7660306274883,0.86254564240236,5.52554020702483,3.28473339564663e-08,1.30732389146736e-05,"HSPA1A","Cajal_Retzius"
"RBM26",9.56132472805779,1.41378182497259,0.283941380697687,4.97913274035194,6.38698276648721e-07,0.000152521148463715,"RBM26","Cajal_Retzius"
"MXI1",6.73447405291256,1.75617469821056,0.361275666482027,4.86103787534755,1.16771906990851e-06,0.000199179509924395,"MXI1","Cajal_Retzius"
"LCOR",6.32078990684488,1.85456565619321,0.390122302675444,4.75380577699525,1.99622815795288e-06,0.000297937052574467,"LCOR","Cajal_Retzius"
"SNCA",7.4882109307941,1.47949357494376,0.318868180582659,4.63982819558955,3.48698948618468e-06,0.000462607271833834,"SNCA","Cajal_Retzius"
"ROCK2",7.2634481500344,1.35309041704981,0.322360962820929,4.19743881271832,2.6995055928786e-05,0.00189604616533247,"ROCK2","Cajal_Retzius"
"HSPA1B",8.56193409341457,5.43607057532486,1.35071012338895,4.02460193434078,5.70717698058793e-05,0.00309744059764636,"HSPA1B","Cajal_Retzius"
"SRRM2",5.1023588396484,1.71083452057074,0.459287585719481,3.7249744468723,0.000195335007669767,0.00777433330525674,"SRRM2","Cajal_Retzius"
"ELF2",6.26760200535196,1.26489672172708,0.348110111393894,3.63361097631498,0.000279482155559669,0.0101121725375226,"ELF2","Cajal_Retzius"
"PPP3R1",5.63026944517393,1.43706637671542,0.417678519569237,3.44060397982043,0.000580417372294284,0.0173254585629844,"PPP3R1","Cajal_Retzius"
"EBF1",5.41126058235731,1.31710716180841,0.384840394546239,3.42247638364833,0.000620534881440376,0.0180711865473124,"EBF1","Cajal_Retzius"
"RPL35A",4.88846379061563,1.32977475749028,0.393805743347338,3.37672768859903,0.000733536323566191,0.019878662652143,"RPL35A","Cajal_Retzius"
"PTGES3",4.27319122215086,1.50423306823647,0.446239099523496,3.37091274575161,0.000749195828598354,0.019878662652143,"PTGES3","Cajal_Retzius"
"MARCKS",6.6327864361427,1.67634707167518,0.504720361527278,3.32133830821203,0.000895868740620969,0.0201824014396498,"MARCKS","Cajal_Retzius"
"GNAO1",4.66075383522672,1.41577777520128,0.425732187260778,3.32551265223942,0.000882560945204744,0.0201824014396498,"GNAO1","Cajal_Retzius"
"PKN2",6.772154527225,1.12998182277922,0.341396942179831,3.3098768124994,0.000933370396762755,0.0206378565506431,"PKN2","Cajal_Retzius"
"NFIX",6.13027962926621,1.14725791572825,0.349758824537804,3.28014001432078,0.00103755580867079,0.0209973158568293,"NFIX","Cajal_Retzius"
"DSCAM",4.59352754911033,1.32743514124274,0.40430518995542,3.28325031244122,0.00102617504114209,0.0209973158568293,"DSCAM","Cajal_Retzius"
"ATP1A1",7.85939351507944,1.00196877253524,0.308047997651169,3.25263848547999,0.00114338864616585,0.022380426942984,"ATP1A1","Cajal_Retzius"
"RPL37A",7.31665758581814,1.03527136278145,0.321101700940444,3.22412294842833,0.00126359135836881,0.0229879131617697,"RPL37A","Cajal_Retzius"
"STAU2",6.45951223452967,1.0934227970312,0.339306888657859,3.2225187097034,0.0012706886672335,0.0229879131617697,"STAU2","Cajal_Retzius"
"MORF4L2",5.29316301446549,1.25901203266437,0.399761643067527,3.14940678901427,0.00163602289435707,0.0279058762266049,"MORF4L2","Cajal_Retzius"
"TARDBP",3.99192504731393,1.43869086464663,0.469619772027438,3.06352276957063,0.00218747557621832,0.0323522259145256,"TARDBP","Cajal_Retzius"
"MEG8",5.68333552570606,1.14168889204725,0.375751737949925,3.0384128048914,0.00237827919571925,0.034212835658901,"MEG8","Cajal_Retzius"
"MIF",3.62660607562771,1.76434734135489,0.585868995084087,3.01150488617624,0.00259956218955752,0.0365162029921375,"MIF","Cajal_Retzius"
"NDRG4",8.36086620638698,1.36107495571747,0.452744123334862,3.00627857009374,0.00264466592297877,0.0367178036283331,"NDRG4","Cajal_Retzius"
"LRRC4C",6.67650535390214,1.05377929955016,0.353214604939854,2.98339673618422,0.00285068212139379,0.0391231546315424,"LRRC4C","Cajal_Retzius"
"ZNF451",5.32658992197994,1.10708224850539,0.37435241048486,2.95732635211698,0.00310319482551878,0.0395671583649764,"ZNF451","Cajal_Retzius"
"APBB1",4.70721324699454,1.25291092499541,0.424755807451757,2.9497205288658,0.00318061491930228,0.0399753075120729,"APBB1","Cajal_Retzius"
"BPTF",5.3932957229098,1.09134539463157,0.372590851448185,2.92907190391212,0.00339975766348516,0.0410031378808211,"BPTF","Cajal_Retzius"
"SESTD1",3.88694688185291,1.3106402159387,0.449136587445765,2.91813281877634,0.00352134323917524,0.0412204296821101,"SESTD1","Cajal_Retzius"
"MAP4",4.85309184341043,1.12910292673781,0.391095394324142,2.88702690730745,0.00388900970559727,0.0433969868082537,"MAP4","Cajal_Retzius"
"YWHAZ",3.79738504246555,1.2755715749979,0.445461930994695,2.86348054961645,0.00419014538909613,0.0450230546530687,"YWHAZ","Cajal_Retzius"
"MICU1",6.52479455004298,1.01129329011588,0.353477292299579,2.86098516693058,0.00422326810816055,0.0450230546530687,"MICU1","Cajal_Retzius"
"BEX3",5.89316200673436,1.28924933407711,0.449748801870005,2.86659870735966,0.00414908749299184,0.0450230546530687,"BEX3","Cajal_Retzius"
"TRIM2",5.36093654472413,1.10641089495753,0.38884980397157,2.84534255554986,0.00443636850583493,0.0453042343690247,"TRIM2","Cajal_Retzius"
"RPL14",3.88467047586772,1.58171635687789,0.566380410973078,2.79267489876707,0.00522741996496601,0.0491334824497646,"RPL14","Cajal_Retzius"
