"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"AZGP1",20.0141212344547,2.73795810925719,0.203139343070789,13.4782266589446,2.1009592912206e-41,2.40959021110091e-37,"AZGP1","Oligodendrocytes"
"LINC01505",61.3410087132618,-1.84819605447369,0.145956640111984,-12.6626377056616,9.52445052259221e-37,5.4617961521805e-33,"LINC01505","Oligodendrocytes"
"EPB41L4A",12.5111985146114,-2.11127670214935,0.192547090817887,-10.9649888408141,5.63075009221436e-28,2.15263576025355e-24,"EPB41L4A","Oligodendrocytes"
"CARNS1",106.460764518015,-0.923072748429801,0.0844429875977125,-10.931313240921,8.16580106761602e-28,2.3413393111122e-24,"CARNS1","Oligodendrocytes"
"ZNF704",103.416882732776,-0.730479300680645,0.0669503434688327,-10.9107625567404,1.02393800602475e-27,2.34870899821956e-24,"ZNF704","Oligodendrocytes"
"NKAIN2",630.400863653693,-0.799051299092877,0.0768262388231361,-10.4007603565287,2.45962608468243e-25,4.70157526087046e-22,"NKAIN2","Oligodendrocytes"
"APOE",26.1885454060274,-2.34839206883782,0.227978439517768,-10.3009393072663,6.97766057045335e-25,1.14323984403614e-21,"APOE","Oligodendrocytes"
"AK5",221.241179336655,-1.03993886672475,0.10301680835663,-10.0948464946091,5.82220944791148e-24,8.34686501976209e-21,"AK5","Oligodendrocytes"
"MYO5A",90.5406057620083,-0.765538832567232,0.0767231506216067,-9.97793790224827,1.90382157767002e-23,2.42610329714416e-20,"MYO5A","Oligodendrocytes"
"MMADHC-DT",33.9909224491817,-1.85488060574506,0.186345168918576,-9.95400426267856,2.42235602168711e-23,2.77820012127295e-20,"MMADHC-DT","Oligodendrocytes"
"AUTS2",335.913444884664,-0.810900845028655,0.0821618037273906,-9.86955992007174,5.64115579003116e-23,5.88167415962431e-20,"AUTS2","Oligodendrocytes"
"SPARCL1",14.0297591020039,-2.05404529762875,0.21063510446573,-9.75167602208937,1.81447509353439e-22,1.73418457064549e-19,"SPARCL1","Oligodendrocytes"
"LINC01877",18.6614617569241,-1.38080535067229,0.141939678678694,-9.72811382642336,2.28795903868319e-22,2.01850786266596e-19,"LINC01877","Oligodendrocytes"
"DLG2",1086.24510809621,-0.546943677046243,0.0563694858364123,-9.70283246211446,2.93242679884176e-22,2.40228592542258e-19,"DLG2","Oligodendrocytes"
"KCNH1",20.4755969385015,-1.85239722748099,0.191322602346987,-9.68206163180575,3.5939437439971e-22,2.74792938666018e-19,"KCNH1","Oligodendrocytes"
"MIR100HG",170.244957741326,-0.723824503235125,0.0757314918076807,-9.55777426216916,1.20316317427305e-21,8.624424028586e-19,"MIR100HG","Oligodendrocytes"
"LHFPL6",26.3082483506828,-1.24438868158358,0.131083289346782,-9.49311455170719,2.24232367114235e-21,1.51277706966656e-18,"LHFPL6","Oligodendrocytes"
"CST3",25.6789465856279,-1.85959656167643,0.197067260885168,-9.4363546401552,3.8597414897022e-21,2.45929861918859e-18,"CST3","Oligodendrocytes"
"RAP1GDS1",97.317164922899,-0.622474267891687,0.0669961264557851,-9.2911978769772,1.52561531588586e-20,9.20909581994472e-18,"RAP1GDS1","Oligodendrocytes"
"FBXL7",262.277706974458,-0.680916014219241,0.0747976644179387,-9.10343951937538,8.7515425203053e-20,5.01857205826907e-17,"FBXL7","Oligodendrocytes"
"PTPRD",781.21718388627,-0.453580914642197,0.0501172013134461,-9.05040390833845,1.42440469649221e-19,7.77928450669957e-17,"PTPRD","Oligodendrocytes"
"DENND5A",77.4197235320813,-0.618617957697447,0.0689676814549061,-8.96967890825684,2.97380066180359e-19,1.55029635410115e-16,"DENND5A","Oligodendrocytes"
"APP",299.623905338172,-0.424569237078997,0.0475017779905634,-8.93796516760575,3.96401987351501e-19,1.97666712736277e-16,"APP","Oligodendrocytes"
"UBE2E2",212.978740677691,-0.424669127402008,0.0480047109339272,-8.84640526190262,9.03835933743411e-19,4.31920596837633e-16,"UBE2E2","Oligodendrocytes"
"CCK",10.6625671750043,-2.97731563709714,0.339306786178336,-8.77470112116264,1.71358363671684e-18,7.86123629180217e-16,"CCK","Oligodendrocytes"
"ZEB2",494.651825154833,-0.536398614989927,0.0616384886042402,-8.70233237602499,3.25131671688569e-18,1.43420582407546e-15,"ZEB2","Oligodendrocytes"
"LINC01299",15.7987812204188,-1.79852170785499,0.207736346681391,-8.65771318590395,4.81322775435161e-18,2.0445521894318e-15,"LINC01299","Oligodendrocytes"
"SPOCK3",540.118046862467,-0.338988728493397,0.0394101948594697,-8.6015491601139,7.86472007709899e-18,3.22144552015173e-15,"SPOCK3","Oligodendrocytes"
"NLGN1",647.449455268474,-0.550311952853636,0.064069558734333,-8.58928894977297,8.75091901082689e-18,3.46083759086806e-15,"NLGN1","Oligodendrocytes"
"NPTX2",10.1665490699291,3.81643956712299,0.449331297981391,8.49359834106424,2.00335806746581e-17,7.65883789192177e-15,"NPTX2","Oligodendrocytes"
"SLC6A12-AS1",7.32357432073151,-1.86636147964031,0.220668785772122,-8.45775025729123,2.72585111478459e-17,1.00847698178918e-14,"SLC6A12-AS1","Oligodendrocytes"
